payment_id,company_id,invoice_id,amount,status,payment_method,bank_reference,payment_date
PAY-00093,COMP-01,INV-00096,4660.47,Pending,Cheque,REF952646696,2025-12-30
PAY-00094,COMP-05,INV-00097,77444.89,Completed,NEFT,REF501538605,2025-10-11
PAY-00095,COMP-04,INV-00099,20359.99,Pending,Bank Transfer,REF725034386,2026-01-25
PAY-00096,COMP-05,INV-00100,6704.34,Completed,NEFT,REF176314066,2025-08-14
PAY-00097,COMP-04,INV-00101,5397.65,Completed,UPI,REF256720545,2025-03-17
PAY-00098,COMP-04,INV-00101,12485.63,Completed,NEFT,REF684924743,2026-02-16
PAY-00099,COMP-02,INV-00103,22043.15,Refunded,RTGS,REF908074609,2025-07-20
PAY-00100,COMP-03,INV-00105,2438.29,Pending,Bank Transfer,REF584634535,2025-07-22
PAY-00101,COMP-05,INV-00106,11943.78,Pending,NEFT,REF906240437,2026-02-16
PAY-00102,COMP-04,INV-00107,52897.63,Completed,RTGS,REF472734791,2025-10-18
PAY-00103,COMP-05,INV-00109,68176.7,Pending,Bank Transfer,REF226673771,2025-03-09
PAY-00104,COMP-01,INV-00110,2907.75,Failed,NEFT,REF483252658,2025-07-20
PAY-00105,COMP-02,INV-00114,9657.01,Pending,Cheque,REF329847766,2026-04-14
PAY-00106,COMP-02,INV-00115,2113.21,Completed,UPI,REF594816161,2026-01-22
PAY-00107,COMP-04,INV-00116,23312.55,Completed,Bank Transfer,REF787409436,2025-10-05
PAY-00108,COMP-03,INV-00117,26001.32,Completed,RTGS,REF622367837,2025-03-04
PAY-00109,COMP-01,INV-00119,9674.83,Completed,RTGS,REF186504276,2025-10-15
PAY-00110,COMP-02,INV-00120,175.54,Pending,NEFT,REF980110870,2025-07-10
PAY-00111,COMP-05,INV-00121,16368.47,Pending,NEFT,REF996184642,2025-12-25
PAY-00112,COMP-05,INV-00122,58299.8,Pending,Bank Transfer,REF798616868,2026-06-20
PAY-00113,COMP-04,INV-00123,21159.96,Failed,UPI,REF843699501,2025-08-15
PAY-00114,COMP-01,INV-00124,4150.06,Completed,Cheque,REF822347379,2026-02-03
PAY-00115,COMP-02,INV-00125,4593.98,Completed,RTGS,REF633360031,2025-09-08
PAY-00116,COMP-02,INV-00125,3342.76,Completed,RTGS,REF368917015,2025-10-21
PAY-00117,COMP-05,INV-00126,71192.8,Failed,NEFT,REF550987693,2026-06-18
PAY-00118,COMP-01,INV-00128,44571.92,Failed,RTGS,REF270621043,2025-03-01
PAY-00119,COMP-01,INV-00129,7337.88,Failed,UPI,REF444416192,2026-01-02
PAY-00120,COMP-02,INV-00130,27792.3,Completed,NEFT,REF839117411,2026-06-19
PAY-00121,COMP-04,INV-00133,10052.56,Pending,RTGS,REF725075503,2025-08-31
PAY-00122,COMP-01,INV-00134,22376.17,Completed,Cheque,REF815618122,2025-08-15
PAY-00123,COMP-04,INV-00135,23327.87,Completed,Cheque,REF758982578,2025-11-07
PAY-00124,COMP-03,INV-00136,7303.52,Completed,RTGS,REF219402962,2025-06-18
PAY-00125,COMP-01,INV-00140,7587.53,Completed,Bank Transfer,REF881717952,2026-04-27
PAY-00126,COMP-03,INV-00141,2232.68,Completed,NEFT,REF117690531,2025-10-08
PAY-00127,COMP-03,INV-00141,3804.38,Completed,NEFT,REF416718441,2025-08-19
PAY-00128,COMP-02,INV-00142,2367.95,Completed,NEFT,REF842222955,2025-03-31
PAY-00129,COMP-01,INV-00143,15432.56,Completed,RTGS,REF980751658,2025-01-14
PAY-00130,COMP-02,INV-00144,2775.69,Pending,Cheque,REF976126037,2026-03-25
PAY-00131,COMP-05,INV-00145,16256.8,Pending,Bank Transfer,REF703584062,2025-11-23
PAY-00132,COMP-02,INV-00146,4304.34,Failed,UPI,REF741893183,2025-09-26
PAY-00133,COMP-04,INV-00147,24123.6,Completed,NEFT,REF469155556,2026-03-05
PAY-00134,COMP-04,INV-00147,16302.16,Completed,Bank Transfer,REF314344163,2025-04-01
PAY-00135,COMP-05,INV-00148,23988.78,Completed,Bank Transfer,REF477555861,2026-04-22
PAY-00136,COMP-01,INV-00149,17395.85,Completed,Cheque,REF361127115,2025-12-20
PAY-00137,COMP-03,INV-00151,5632.98,Completed,UPI,REF781564489,2025-05-18
PAY-00138,COMP-02,INV-00152,1254.44,Completed,Bank Transfer,REF915888746,2026-02-15
PAY-00139,COMP-01,INV-00153,1380.38,Completed,Bank Transfer,REF325461881,2025-03-27
PAY-00140,COMP-01,INV-00153,1540.29,Completed,NEFT,REF794126572,2026-03-25
PAY-00141,COMP-02,INV-00155,39166.05,Completed,RTGS,REF330038966,2026-05-13
PAY-00142,COMP-05,INV-00156,570.7,Failed,UPI,REF335696113,2025-08-26
PAY-00143,COMP-03,INV-00158,11388.49,Pending,RTGS,REF452921196,2025-02-05
PAY-00144,COMP-01,INV-00159,37731.97,Completed,NEFT,REF223745189,2025-01-19
PAY-00145,COMP-05,INV-00160,83454.51,Pending,Bank Transfer,REF922274164,2026-05-26
PAY-00146,COMP-03,INV-00161,7942.06,Completed,NEFT,REF412234231,2025-05-30
PAY-00147,COMP-04,INV-00162,20050.87,Completed,UPI,REF904611223,2025-08-29
PAY-00148,COMP-02,INV-00164,10873.5,Pending,Bank Transfer,REF865263121,2026-03-20
PAY-00149,COMP-04,INV-00166,16511.4,Completed,Bank Transfer,REF266011462,2025-01-28
PAY-00150,COMP-05,INV-00167,19168.61,Completed,RTGS,REF508104001,2025-04-08
PAY-00151,COMP-05,INV-00168,7449.01,Completed,RTGS,REF684888986,2025-04-26
PAY-00152,COMP-02,INV-00169,6845.15,Completed,NEFT,REF457651040,2025-07-07
PAY-00153,COMP-04,INV-00170,5903.07,Completed,Cheque,REF294724690,2025-08-28
PAY-00154,COMP-04,INV-00171,4237.18,Completed,Cheque,REF309771984,2025-05-04
PAY-00155,COMP-01,INV-00172,12388.76,Pending,Cheque,REF580730695,2025-11-08
PAY-00156,COMP-02,INV-00173,76599.52,Completed,RTGS,REF938759361,2026-03-30
PAY-00157,COMP-03,INV-00174,6664.12,Pending,RTGS,REF397109916,2026-04-18
PAY-00158,COMP-01,INV-00175,6023.25,Completed,Bank Transfer,REF544126249,2026-01-23
PAY-00159,COMP-03,INV-00176,12996.23,Completed,Cheque,REF368300571,2026-06-09
PAY-00160,COMP-02,INV-00177,5905.43,Completed,UPI,REF746811708,2025-04-10
PAY-00161,COMP-02,INV-00177,4464.95,Completed,UPI,REF531289661,2025-08-06
PAY-00162,COMP-01,INV-00178,140.4,Failed,RTGS,REF463695473,2025-08-01
PAY-00163,COMP-04,INV-00179,42617.94,Pending,UPI,REF395505937,2025-10-11
PAY-00164,COMP-04,INV-00180,2349.41,Failed,Bank Transfer,REF633383344,2025-10-24
PAY-00165,COMP-03,INV-00181,6066.54,Failed,UPI,REF197740330,2025-07-25
PAY-00166,COMP-03,INV-00182,10561.79,Pending,Bank Transfer,REF580750525,2025-11-15
PAY-00167,COMP-01,INV-00183,15919.19,Completed,NEFT,REF345507301,2025-05-12
PAY-00168,COMP-02,INV-00184,13480.5,Completed,NEFT,REF181519466,2026-01-25
PAY-00169,COMP-01,INV-00185,2481.93,Completed,RTGS,REF551496143,2025-09-15
PAY-00170,COMP-01,INV-00186,13412.14,Failed,RTGS,REF176395583,2026-05-24
PAY-00171,COMP-02,INV-00188,11848.16,Failed,Bank Transfer,REF531419226,2025-01-08
PAY-00172,COMP-02,INV-00189,3101.86,Completed,NEFT,REF181449619,2026-01-03
PAY-00173,COMP-01,INV-00190,4534.7,Pending,Bank Transfer,REF315399873,2026-06-30
PAY-00174,COMP-02,INV-00191,10812.56,Completed,UPI,REF332132388,2025-11-25
PAY-00175,COMP-02,INV-00191,8803.89,Completed,RTGS,REF163910122,2025-02-20
PAY-00176,COMP-02,INV-00192,5954.82,Failed,NEFT,REF258939151,2025-12-31
PAY-00177,COMP-03,INV-00193,71732.6,Pending,NEFT,REF583654142,2026-05-25
PAY-00178,COMP-04,INV-00194,552.62,Pending,UPI,REF441300223,2025-09-30
PAY-00179,COMP-01,INV-00195,7459.26,Completed,Cheque,REF600637177,2025-05-08
PAY-00180,COMP-05,INV-00196,46650.37,Completed,Cheque,REF668828194,2026-05-14
PAY-00181,COMP-04,INV-00197,892.02,Pending,NEFT,REF316706913,2025-03-14
PAY-00182,COMP-04,INV-00198,40737.81,Completed,Cheque,REF539114228,2025-11-02
PAY-00183,COMP-02,INV-00199,2098.52,Completed,RTGS,REF222967137,2026-04-03
PAY-00184,COMP-02,INV-00199,3568.49,Completed,Cheque,REF159745008,2025-11-03
PAY-00185,COMP-05,INV-00200,3889.83,Pending,NEFT,REF590768174,2025-12-19
PAY-00186,COMP-05,INV-00201,2283.31,Completed,UPI,REF904584076,2025-08-18
PAY-00187,COMP-05,INV-00201,1929.22,Completed,UPI,REF494118340,2025-05-29
PAY-00188,COMP-04,INV-00202,15736.34,Completed,UPI,REF361472687,2025-11-09
PAY-00189,COMP-02,INV-00203,6799.52,Pending,UPI,REF197098984,2026-06-19
PAY-00190,COMP-02,INV-00204,7623.23,Pending,UPI,REF188101913,2025-09-01
PAY-00191,COMP-03,INV-00205,1977.72,Failed,NEFT,REF270773801,2026-03-03
PAY-00192,COMP-04,INV-00206,17107.93,Pending,Cheque,REF738400470,2025-03-15
PAY-00193,COMP-02,INV-00207,623.76,Completed,RTGS,REF758990224,2026-04-27
PAY-00194,COMP-04,INV-00208,1970.24,Pending,RTGS,REF733394105,2025-10-09
PAY-00195,COMP-02,INV-00209,2663.99,Failed,Bank Transfer,REF565981256,2026-03-08
PAY-00196,COMP-05,INV-00210,266.13,Completed,UPI,REF703419741,2025-05-09
PAY-00197,COMP-04,INV-00212,3795.05,Completed,UPI,REF836536578,2025-10-13
PAY-00198,COMP-03,INV-00213,6824.47,Completed,Bank Transfer,REF197566963,2026-01-06
PAY-00199,COMP-03,INV-00214,20977.98,Completed,UPI,REF513078934,2026-02-28
PAY-00200,COMP-05,INV-00215,33248.6,Pending,Bank Transfer,REF795722508,2025-12-20
PAY-00201,COMP-05,INV-00216,25888.33,Pending,UPI,REF880350461,2025-04-06
PAY-00202,COMP-04,INV-00217,2635.87,Completed,NEFT,REF796146803,2025-02-23
PAY-00203,COMP-01,INV-00218,1646.19,Completed,RTGS,REF818116050,2025-12-01
PAY-00204,COMP-05,INV-00219,42210.79,Pending,Cheque,REF372230513,2025-10-03
PAY-00205,COMP-02,INV-00220,2275.43,Completed,Bank Transfer,REF208494659,2025-01-14
PAY-00206,COMP-02,INV-00220,4308.21,Completed,Bank Transfer,REF547792286,2026-04-04
PAY-00207,COMP-05,INV-00222,4118.93,Completed,UPI,REF439573811,2025-04-26
PAY-00208,COMP-01,INV-00223,68573.17,Pending,RTGS,REF867689048,2026-02-10
PAY-00209,COMP-04,INV-00224,1284.78,Completed,Bank Transfer,REF921511591,2026-02-17
PAY-00210,COMP-02,INV-00225,1438.88,Completed,NEFT,REF675661137,2025-01-02
PAY-00211,COMP-02,INV-00225,2110.58,Completed,RTGS,REF756979118,2025-12-18
PAY-00212,COMP-02,INV-00226,611.67,Completed,RTGS,REF618035244,2026-01-08
PAY-00213,COMP-02,INV-00226,501.04,Completed,Bank Transfer,REF780376602,2026-06-15
PAY-00214,COMP-02,INV-00227,15313.81,Completed,NEFT,REF766637230,2026-03-23
PAY-00215,COMP-02,INV-00229,4767.86,Completed,Bank Transfer,REF689675134,2025-12-22
PAY-00216,COMP-04,INV-00230,17339.54,Completed,NEFT,REF686750908,2025-01-24
PAY-00217,COMP-02,INV-00231,6033.51,Completed,Cheque,REF625855417,2026-04-10
PAY-00218,COMP-02,INV-00232,6056.21,Pending,Bank Transfer,REF623710165,2025-11-16
PAY-00219,COMP-05,INV-00233,11638.91,Completed,UPI,REF142476546,2025-06-13
PAY-00220,COMP-05,INV-00234,11562.32,Refunded,Cheque,REF817777709,2025-09-22
PAY-00221,COMP-04,INV-00235,5394.18,Completed,UPI,REF671271109,2025-09-16
PAY-00222,COMP-04,INV-00236,5447.74,Failed,Cheque,REF117162591,2026-06-07
PAY-00223,COMP-02,INV-00237,15879.21,Pending,NEFT,REF246808337,2026-06-30
PAY-00224,COMP-03,INV-00239,18324.09,Pending,UPI,REF531628004,2025-06-27
PAY-00225,COMP-03,INV-00240,18304.61,Pending,NEFT,REF474724096,2025-11-11
PAY-00226,COMP-02,INV-00241,71872.89,Completed,RTGS,REF834485224,2026-06-22
PAY-00227,COMP-02,INV-00242,72139.5,Completed,NEFT,REF657544358,2025-02-12
PAY-00228,COMP-05,INV-00243,26726.55,Completed,UPI,REF293303956,2026-05-27
PAY-00229,COMP-04,INV-00245,958.97,Completed,Cheque,REF250213620,2025-12-10
PAY-00230,COMP-04,INV-00245,1108.58,Completed,UPI,REF221762881,2025-01-23
PAY-00231,COMP-04,INV-00246,2054.68,Failed,RTGS,REF685429778,2026-04-28
PAY-00232,COMP-05,INV-00247,3693.41,Completed,UPI,REF430142817,2026-06-16
PAY-00233,COMP-05,INV-00248,3683.47,Completed,Bank Transfer,REF694766866,2025-12-30
PAY-00234,COMP-05,INV-00249,9939.91,Completed,Bank Transfer,REF644444568,2025-06-26
PAY-00235,COMP-05,INV-00250,9965.66,Pending,NEFT,REF116520482,2025-07-27
PAY-00236,COMP-01,INV-00251,200000,Pending,Bank Transfer,REF644592190,2026-02-18
PAY-00237,COMP-03,INV-00252,142895.11,Completed,Bank Transfer,REF609989063,2025-07-24
PAY-00238,COMP-03,INV-00252,157104.89,Completed,NEFT,REF366949231,2025-09-19
PAY-00239,COMP-04,INV-00253,50000,Completed,Cheque,REF299782313,2025-10-07
PAY-00240,COMP-04,INV-00254,250000,Failed,NEFT,REF928938706,2025-05-18
PAY-00241,COMP-04,INV-00255,200000,Completed,Cheque,REF381644802,2026-02-16
PAY-00242,COMP-04,INV-00256,300000,Completed,UPI,REF663689274,2025-07-22
PAY-00243,COMP-05,INV-00257,150000,Completed,UPI,REF411850565,2025-02-20
PAY-00244,COMP-04,INV-00258,200000,Completed,UPI,REF183834932,2025-08-26
PAY-00245,COMP-05,INV-00260,200000,Pending,Bank Transfer,REF321906661,2026-02-18
PAY-00246,COMP-03,INV-00261,50000,Completed,NEFT,REF659405301,2025-12-07
PAY-00247,COMP-04,INV-00262,300000,Completed,RTGS,REF856149304,2026-04-25
PAY-00248,COMP-03,INV-00263,86417.31,Failed,NEFT,REF361433824,2026-02-05
PAY-00249,COMP-04,INV-00265,105909.38,Pending,Cheque,REF681033975,2026-04-05
PAY-00250,COMP-01,INV-00266,14248.64,Completed,NEFT,REF873051850,2025-10-17
PAY-00251,COMP-01,INV-00266,17500.4,Completed,Cheque,REF189853101,2026-04-19
PAY-00252,COMP-02,INV-00267,31830.69,Failed,RTGS,REF412991083,2026-04-15
PAY-00253,COMP-03,INV-00268,61505.2,Completed,RTGS,REF577287657,2025-08-05
PAY-00254,COMP-01,INV-00269,4776.91,Completed,RTGS,REF781200478,2026-03-31
PAY-00255,COMP-01,INV-00269,3200.06,Completed,NEFT,REF748592524,2026-06-29
PAY-00256,COMP-05,INV-00270,48648.36,Pending,RTGS,REF503029495,2026-01-16
PAY-00257,COMP-03,INV-00272,55810.03,Completed,Bank Transfer,REF901609895,2025-02-06
PAY-00258,COMP-03,INV-00274,291525.47,Completed,Cheque,REF434269817,2026-02-14
PAY-00259,COMP-05,INV-00275,242968.75,Completed,NEFT,REF550734904,2026-02-19
PAY-00260,COMP-05,INV-00276,280491.67,Pending,RTGS,REF203462514,2026-02-01
PAY-00261,COMP-01,INV-00277,246564.83,Completed,RTGS,REF239537391,2026-03-05
PAY-00262,COMP-01,INV-00278,289643.44,Completed,NEFT,REF511762418,2025-03-02
PAY-00263,COMP-03,INV-00279,242372.78,Completed,RTGS,REF725840594,2025-06-01
PAY-00264,COMP-03,INV-00280,289592.47,Completed,RTGS,REF843402820,2025-01-02
PAY-00265,COMP-01,INV-00281,80977.89,Completed,RTGS,REF787287633,2026-01-29
PAY-00266,COMP-01,INV-00281,159316.08,Completed,NEFT,REF461645747,2025-11-04
PAY-00267,COMP-01,INV-00282,270992.64,Completed,RTGS,REF769613298,2026-04-22
PAY-00268,COMP-01,INV-00283,246481.65,Completed,Bank Transfer,REF818293617,2026-05-31
PAY-00269,COMP-01,INV-00284,275986.01,Completed,NEFT,REF480613222,2026-06-10
PAY-00270,COMP-04,INV-00285,247728.41,Completed,UPI,REF462123494,2025-12-29
PAY-00271,COMP-04,INV-00286,269274.02,Completed,UPI,REF933933541,2025-10-12
PAY-00272,COMP-01,INV-00287,243373.89,Completed,Cheque,REF256075119,2025-06-07
PAY-00273,COMP-01,INV-00288,283143.2,Completed,RTGS,REF789138873,2026-01-11
PAY-00274,COMP-02,INV-00289,9265.91,Completed,RTGS,REF754480366,2025-08-10
PAY-00275,COMP-02,INV-00289,7296.38,Completed,UPI,REF673241262,2026-01-16
PAY-00276,COMP-01,INV-00290,10490.68,Completed,NEFT,REF887532381,2026-04-20
PAY-00277,COMP-01,INV-00290,24077.24,Completed,RTGS,REF693869226,2025-08-17
PAY-00278,COMP-04,INV-00291,169088.64,Completed,NEFT,REF282925851,2025-03-14
PAY-00279,COMP-01,INV-00292,4715.07,Completed,RTGS,REF490322096,2026-06-08
PAY-00280,COMP-01,INV-00293,17345.58,Completed,RTGS,REF341531491,2025-06-14
PAY-00281,COMP-01,INV-00293,18993.13,Completed,UPI,REF932891225,2025-09-10
PAY-00282,COMP-01,INV-00294,45685.75,Failed,UPI,REF340589537,2025-12-19
PAY-00283,COMP-04,INV-00295,121973.6,Pending,Cheque,REF703996521,2025-12-24
PAY-00284,COMP-02,INV-00296,53894.7,Completed,NEFT,REF714052838,2025-11-17
PAY-00285,COMP-02,INV-00297,6195.62,Failed,UPI,REF539218444,2025-02-14
PAY-00286,COMP-01,INV-00298,742.05,Completed,UPI,REF851517034,2025-11-12
PAY-00287,COMP-04,INV-00299,22743.92,Failed,NEFT,REF872470523,2025-01-17
PAY-00288,COMP-04,INV-00303,19093.96,Completed,NEFT,REF605656995,2026-02-12
PAY-00289,COMP-02,INV-00304,5026.93,Completed,Bank Transfer,REF902346306,2025-03-26
PAY-00290,COMP-04,INV-00306,22487.25,Completed,NEFT,REF555948066,2025-06-10
PAY-00291,COMP-04,INV-00306,22567.38,Completed,RTGS,REF632213335,2025-11-05
PAY-00292,COMP-03,INV-00307,6196.24,Pending,Cheque,REF537164552,2025-04-05
PAY-00293,COMP-05,INV-00308,42286.76,Completed,Cheque,REF934765031,2025-03-02
PAY-00294,COMP-02,INV-00309,79207.01,Completed,Cheque,REF430370539,2025-12-23
PAY-00295,COMP-05,INV-00310,13764.09,Completed,RTGS,REF917265159,2025-07-10
PAY-00296,COMP-04,INV-00311,42536.61,Completed,UPI,REF445679831,2025-08-07
PAY-00297,COMP-04,INV-00313,219520.96,Refunded,NEFT,REF343847502,2026-04-08
PAY-00298,COMP-01,INV-00314,164031.85,Completed,RTGS,REF512747501,2025-10-13
PAY-00299,COMP-01,INV-00314,129672.51,Completed,RTGS,REF887504277,2026-05-28
PAY-00300,COMP-02,INV-00315,343499.49,Completed,RTGS,REF699643521,2025-02-05
PAY-00301,COMP-03,INV-00317,297900.56,Failed,Cheque,REF644296786,2026-06-19
