vendor_id,company_id,name,category,risk_profile,status,bank_name,bank_account_number,tax_id,onboarded_date
VEN-0015,COMP-05,Summit Services,Software/SaaS,Low,Active,ICICI Bank,XXXXXX6948,GSTIN10900644412279,2024-06-26
VEN-0016,COMP-02,Vertex Group,Raw Materials,Medium,Active,HDFC Bank,XXXXXX0160,GSTIN19251560083623,2025-01-18
VEN-0017,COMP-03,Ridgeline Labs,Logistics,Medium,Active,Yes Bank,XXXXXX8620,GSTIN51438724911909,2023-12-15
VEN-0018,COMP-04,Zenith Systems,Manufacturing,Low,Active,Yes Bank,XXXXXX0504,GSTIN85699005253360,2024-06-01
VEN-0019,COMP-01,Quartz Logistics,Raw Materials,Medium,Active,ICICI Bank,XXXXXX5955,GSTIN49930993401289,2024-11-13
VEN-0020,COMP-02,Pioneer Networks,Travel,Low,Active,Yes Bank,XXXXXX6334,GSTIN80534293421370,2024-07-16
VEN-0021,COMP-02,Northgate Group,Travel,Low,Active,Kotak Mahindra Bank,XXXXXX1482,GSTIN47641916185312,2024-08-10
VEN-0022,COMP-05,Falcon Labs,Consulting,Medium,Active,Kotak Mahindra Bank,XXXXXX1113,GSTIN71208856277492,2024-09-06
VEN-0023,COMP-01,Lumen Logistics,Office Supplies,Low,Active,SBI,XXXXXX0287,GSTIN69273328392358,2025-06-10
VEN-0024,COMP-05,Anchor Materials,Logistics,Medium,Active,Axis Bank,XXXXXX4646,GSTIN56169414476574,2024-09-18
VEN-0025,COMP-01,Lattice Services,Software/SaaS,Low,Active,ICICI Bank,XXXXXX5492,GSTIN35867232361517,2025-05-22
VEN-0026,COMP-01,Frontier Supplies,Raw Materials,Low,Active,SBI,XXXXXX4999,GSTIN65164391808372,2024-10-21
VEN-0027,COMP-02,Juniper Logistics,Consulting,High,Active,ICICI Bank,XXXXXX4251,GSTIN76064472885028,2024-01-23
VEN-0028,COMP-02,Coral Labs,Manufacturing,Medium,Active,SBI,XXXXXX6398,GSTIN22000383708209,2025-02-11
VEN-0029,COMP-03,Quartz Services,Consulting,Low,Active,Yes Bank,XXXXXX3197,GSTIN95779808015536,2025-01-30
VEN-0030,COMP-01,Sable Labs,Facilities,Medium,Active,ICICI Bank,XXXXXX4041,GSTIN44701151212034,2025-07-23
VEN-0031,COMP-05,Lattice Industries,Raw Materials,Medium,Active,SBI,XXXXXX3600,GSTIN56510196493642,2024-10-17
VEN-0032,COMP-04,Ironclad Supplies,Travel,Medium,Active,SBI,XXXXXX4458,GSTIN59986087313001,2025-05-11
VEN-0033,COMP-03,Lattice Group,Facilities,High,Under Review,Yes Bank,XXXXXX3545,GSTIN52277074562066,2025-12-09
VEN-0034,COMP-01,Ironclad Technologies,Logistics,Medium,Active,HDFC Bank,XXXXXX2647,GSTIN69330837044723,2025-06-25
VEN-0035,COMP-01,Ironclad Services,Utilities,Medium,Active,Yes Bank,XXXXXX5018,GSTIN66950916862133,2024-04-16
VEN-0036,COMP-01,Ivory Solutions,Marketing Services,Low,Active,Kotak Mahindra Bank,XXXXXX9081,GSTIN48762156198344,2024-10-09
VEN-0037,COMP-02,Ivory Networks,Software/SaaS,Low,Active,Axis Bank,XXXXXX0680,GSTIN53977506147439,2024-05-21
VEN-0038,COMP-04,Sable Industries,Raw Materials,Low,Active,SBI,XXXXXX7427,GSTIN51147220723168,2024-09-14
VEN-0039,COMP-05,Lumen Technologies,Raw Materials,Low,Active,Axis Bank,XXXXXX6321,GSTIN15951893052128,2023-11-18
VEN-0040,COMP-02,Granite Traders,Raw Materials,Low,Active,Kotak Mahindra Bank,XXXXXX4227,GSTIN64180117646928,2025-12-01
VEN-0041,COMP-01,Juniper Supplies,Facilities,Medium,Active,Kotak Mahindra Bank,XXXXXX7354,GSTIN44661026067594,2024-11-07
VEN-0042,COMP-04,BluePeak Services,Utilities,Medium,Active,HDFC Bank,XXXXXX4527,GSTIN23668415377150,2025-02-27
VEN-0043,COMP-05,Ivory Labs,Raw Materials,High,Active,ICICI Bank,XXXXXX8869,GSTIN46194075766321,2024-07-14
VEN-0044,COMP-02,Zenith Consulting,Office Supplies,High,Active,ICICI Bank,XXXXXX0925,GSTIN17848981544384,2025-11-14
VEN-0045,COMP-03,Ironclad Industries,Software/SaaS,High,Active,Yes Bank,XXXXXX6071,GSTIN32089171476218,2025-01-05
VEN-0046,COMP-05,Anchor Solutions,Utilities,Medium,Active,HDFC Bank,XXXXXX3371,GSTIN87878285663436,2024-04-21
VEN-0047,COMP-04,Quantum Partners,Marketing Services,Low,Active,Axis Bank,XXXXXX8624,GSTIN26773076652904,2024-09-11
VEN-0048,COMP-02,Harbor Labs,Utilities,Low,Active,HDFC Bank,XXXXXX5547,GSTIN84113713622197,2025-05-26
VEN-0049,COMP-03,Granite Industries,Marketing Services,Low,Active,ICICI Bank,XXXXXX4226,GSTIN98445006354986,2025-11-04
VEN-0050,COMP-03,Redwood Consulting,Logistics,Low,Active,HDFC Bank,XXXXXX1625,GSTIN61668395210364,2025-11-21
VEN-0051,COMP-03,BluePeak Industries,Raw Materials,Low,Active,SBI,XXXXXX5821,GSTIN79637444158781,2024-07-07
VEN-0052,COMP-01,Ivory Supplies,Facilities,Medium,Active,HDFC Bank,XXXXXX1055,GSTIN43545940468568,2025-05-08
VEN-0053,COMP-01,Coral Traders,Consulting,Low,Active,Kotak Mahindra Bank,XXXXXX4390,GSTIN64712020684095,2024-09-11
VEN-0054,COMP-05,Glacier Consulting,Facilities,Low,Active,SBI,XXXXXX0599,GSTIN11626215019990,2024-01-23
VEN-0055,COMP-05,Drift Solutions,Consulting,Low,Active,HDFC Bank,XXXXXX0869,GSTIN48481289791187,2025-12-08
VEN-0056,COMP-01,Onyx Labs,Raw Materials,Low,Active,ICICI Bank,XXXXXX2451,GSTIN82005658949999,2024-08-12
VEN-0057,COMP-03,Meridian Services,Marketing Services,Low,Active,Yes Bank,XXXXXX5643,GSTIN56957917922088,2025-06-06
VEN-0058,COMP-05,Anchor Logistics,Facilities,Low,Active,ICICI Bank,XXXXXX1084,GSTIN82757012354636,2026-02-04
VEN-0059,COMP-04,Ember Traders,Utilities,Medium,Active,Yes Bank,XXXXXX5777,GSTIN47814933207435,2024-07-30
VEN-0060,COMP-01,Meridian Group,Software/SaaS,Low,Active,Kotak Mahindra Bank,XXXXXX3355,GSTIN55318983942998,2024-08-20
VEN-0061,COMP-04,Nimbus Labs,Marketing Services,Low,Active,ICICI Bank,XXXXXX3989,GSTIN16674489022773,2024-10-07
VEN-0062,COMP-04,Harbor Consulting,Manufacturing,High,Active,SBI,XXXXXX6503,GSTIN31704935293202,2025-02-14
VEN-0063,COMP-04,Redwood Group,Marketing Services,Low,Active,HDFC Bank,XXXXXX8984,GSTIN83753850138303,2024-12-29
VEN-0064,COMP-05,Marlin Logistics,Logistics,Low,Active,HDFC Bank,XXXXXX0385,GSTIN14156102870393,2024-04-15
VEN-0065,COMP-04,Redwood Industries,Facilities,Low,Blacklisted,Kotak Mahindra Bank,XXXXXX4448,GSTIN11759433783435,2025-10-09
VEN-0066,COMP-02,Ridgeline Systems,Logistics,Low,Active,HDFC Bank,XXXXXX7002,GSTIN16190005219572,2025-06-07
VEN-0067,COMP-05,Northgate Services,Consulting,Low,Active,Axis Bank,XXXXXX8472,GSTIN33915122941782,2025-11-08
VEN-0068,COMP-02,Coral Group,Software/SaaS,High,Active,HDFC Bank,XXXXXX3434,GSTIN58047907735110,2025-04-06
VEN-0069,COMP-02,Quantum Logistics,Office Supplies,Low,Active,ICICI Bank,XXXXXX2417,GSTIN93873241311116,2024-07-31
VEN-0070,COMP-03,Ivory Consulting,Facilities,Low,Active,HDFC Bank,XXXXXX0767,GSTIN55179755549477,2026-02-19
VEN-0071,COMP-01,Redwood Materials,Office Supplies,Low,Active,Axis Bank,XXXXXX4668,GSTIN48920721937187,2024-11-20
VEN-0072,COMP-03,Silverline Technologies,Utilities,Medium,Active,SBI,XXXXXX7001,GSTIN31982944322763,2024-02-24
VEN-0073,COMP-01,Ember Networks,Facilities,Low,Active,Kotak Mahindra Bank,XXXXXX6985,GSTIN16664483591976,2024-09-17
VEN-0074,COMP-01,Crestview Materials,Software/SaaS,Medium,Active,Yes Bank,XXXXXX9435,GSTIN98398324913252,2024-07-03
VEN-0075,COMP-02,Orion Materials,Marketing Services,Medium,Active,HDFC Bank,XXXXXX9130,GSTIN53708320973922,2024-09-03
VEN-0076,COMP-04,Meridian Industries,Travel,Low,Active,SBI,XXXXXX1496,GSTIN94255038268391,2025-09-02
VEN-0077,COMP-04,Juniper Traders,Logistics,Low,Active,ICICI Bank,XXXXXX5250,GSTIN21817540344710,2025-10-18
VEN-0078,COMP-05,Beacon Networks,Manufacturing,Low,Active,ICICI Bank,XXXXXX6070,GSTIN51700460836602,2025-01-12
VEN-0079,COMP-05,Drift Industries,Consulting,Low,Active,SBI,XXXXXX0568,GSTIN66748138331873,2024-10-30
VEN-0080,COMP-04,Orion Logistics,Marketing Services,Low,Active,Yes Bank,XXXXXX1708,GSTIN81956966902390,2025-01-09
VEN-0081,COMP-03,Horizon Industries,Office Supplies,Medium,Active,Axis Bank,XXXXXX6545,GSTIN74804686115006,2025-06-13
VEN-0082,COMP-02,Horizon Supplies,Marketing Services,High,Active,Yes Bank,XXXXXX3801,GSTIN30676338522421,2024-02-04
VEN-0083,COMP-04,Pinnacle Consulting,Utilities,Low,Active,ICICI Bank,XXXXXX2452,GSTIN89777249954687,2025-09-07
VEN-0084,COMP-04,Summit Traders,Office Supplies,Medium,Active,Kotak Mahindra Bank,XXXXXX1957,GSTIN62545217460938,2024-03-02
VEN-0085,COMP-04,Terra Technologies,Logistics,Low,Active,ICICI Bank,XXXXXX7338,GSTIN27271161358734,2025-02-05
VEN-0086,COMP-05,Crestview Systems,Facilities,High,Active,Axis Bank,XXXXXX4851,GSTIN78685207005936,2026-04-24
VEN-0087,COMP-03,Solstice Solutions,Consulting,Low,Active,SBI,XXXXXX9440,GSTIN14990052597313,2024-08-03
VEN-0088,COMP-05,Cascade Industries,Raw Materials,Low,Active,SBI,XXXXXX0134,GSTIN75921636437451,2024-12-24
VEN-0089,COMP-03,Ember Services,Utilities,Low,Active,ICICI Bank,XXXXXX2559,GSTIN23407903975941,2025-11-22
VEN-0090,COMP-04,Redwood Labs,Raw Materials,Medium,Active,ICICI Bank,XXXXXX3540,GSTIN80894798069384,2024-11-28
VEN-0091,COMP-02,Drift Services,Logistics,High,Active,Yes Bank,XXXXXX7593,GSTIN36774487784794,2025-03-27
VEN-0092,COMP-01,Ridgeline Services,Raw Materials,Low,Active,Yes Bank,XXXXXX1272,GSTIN73038951158817,2025-05-03
VEN-0093,COMP-05,Redwood Services,Manufacturing,Medium,Active,HDFC Bank,XXXXXX5869,GSTIN55252686935835,2025-01-02
VEN-0094,COMP-01,Zenith Traders,Travel,Low,Active,SBI,XXXXXX0363,GSTIN96407935052051,2025-09-14
VEN-0095,COMP-01,Beacon Industries,Software/SaaS,Low,Active,HDFC Bank,XXXXXX2684,GSTIN53523683770090,2024-08-29
VEN-0096,COMP-04,Pinnacle Networks,Facilities,Low,Under Review,ICICI Bank,XXXXXX9961,GSTIN80628775549189,2025-09-22
VEN-0097,COMP-02,Pioneer Supplies,Manufacturing,High,Active,ICICI Bank,XXXXXX2993,GSTIN55574808908350,2024-12-29
VEN-0098,COMP-01,Vertex Solutions,Office Supplies,Medium,Active,HDFC Bank,XXXXXX7233,GSTIN52001682116879,2025-03-08
VEN-0099,COMP-05,Lattice Logistics,Consulting,Low,Active,Axis Bank,XXXXXX5828,GSTIN16499833272026,2024-05-31
VEN-0100,COMP-04,Ivory Industries,Consulting,High,Active,HDFC Bank,XXXXXX3466,GSTIN14633818638681,2024-11-16
VEN-0101,COMP-02,Ridgeline Logistics,Software/SaaS,Low,Active,SBI,XXXXXX5025,GSTIN80469871419768,2025-08-01
VEN-0102,COMP-03,Solstice Supplies,Travel,High,Under Review,ICICI Bank,XXXXXX5306,GSTIN73860378862270,2024-09-24
VEN-0103,COMP-05,Onyx Partners,Utilities,Medium,Active,Kotak Mahindra Bank,XXXXXX6926,GSTIN22215385916386,2025-03-13
VEN-0104,COMP-01,Terra Labs,Software/SaaS,Low,Active,Kotak Mahindra Bank,XXXXXX3878,GSTIN65379583699110,2024-12-14
VEN-0105,COMP-05,Novus Partners,Utilities,Low,Active,Axis Bank,XXXXXX7321,GSTIN43583920351302,2024-05-01
VEN-0106,COMP-04,Silverline Industries,Consulting,Medium,Active,SBI,XXXXXX0396,GSTIN99315774711765,2024-09-03
VEN-0107,COMP-02,Keystone Networks,Facilities,Low,Active,Yes Bank,XXXXXX1723,GSTIN47350074264830,2024-11-08
VEN-0108,COMP-04,Novus Materials,Office Supplies,Low,Active,Kotak Mahindra Bank,XXXXXX6228,GSTIN36966461360861,2024-11-05
VEN-0109,COMP-02,Cascade Materials,Utilities,Medium,Active,SBI,XXXXXX8448,GSTIN65961017987874,2024-03-01
VEN-0110,COMP-01,Marlin Labs,Logistics,Medium,Active,Yes Bank,XXXXXX4824,GSTIN77947823965756,2025-05-15
