invoice_id,company_id,vendor_id,department,gl_account,amount,currency,tax_amount,date,due_date,payment_terms,status,po_number,contract_id,submitted_by,submitted_at,source_channel,ocr_confidence,is_recurring,notes
INV-00017,COMP-02,VEN-0027,Finance,6300,14093.14,INR,2536.77,2025-01-22,2025-02-21,Net 30,Overdue,PO-502812,,USR-0015,2025-01-22 17:27:49,scanned_document,0.83,False,
INV-00018,COMP-05,VEN-0001,HR,6600,1794.66,INR,323.04,2025-12-30,2026-02-28,Net 60,Disputed,PO-309615,CTR-4928,USR-0116,2025-12-30 10:37:56,scanned_document,0.88,False,
INV-00019,COMP-01,VEN-0073,HR,6900,16030.5,INR,2885.49,2025-02-09,2025-03-11,Net 45,Paid,,CTR-8666,USR-0005,2025-02-09 12:51:00,whatsapp_bot,0.81,True,
INV-00020,COMP-01,VEN-0098,Marketing,6200,601.47,INR,108.26,2026-06-26,2026-07-26,Net 15,Pending,PO-500158,,USR-0010,2026-06-26 14:06:32,email_upload,0.97,True,
INV-00021,COMP-02,VEN-0091,HR,6400,13533.07,INR,2435.95,2025-04-24,2025-05-09,Net 45,Pending,,,USR-0043,2025-04-24 14:43:06,email_upload,0.85,False,
INV-00022,COMP-03,VEN-0011,Marketing,6100,1131.48,INR,203.67,2025-08-08,2025-10-07,Net 30,Pending,PO-321066,,USR-0022,2025-08-08 15:59:39,email_upload,0.97,False,
INV-00023,COMP-04,VEN-0004,Finance,6800,1973.23,INR,355.18,2025-06-16,2025-08-15,Net 60,Paid,PO-753313,,USR-0036,2025-06-16 19:41:59,portal_upload,0.96,False,
INV-00024,COMP-04,VEN-0014,Engineering,6300,41621.19,INR,7491.81,2025-11-18,2026-01-17,Net 30,Pending,PO-580282,CTR-1223,USR-0080,2025-11-18 14:04:34,whatsapp_bot,0.83,False,
INV-00025,COMP-04,VEN-0032,Finance,6800,1359.93,INR,244.79,2025-01-29,2025-02-13,Net 15,Pending,PO-787823,CTR-2096,USR-0076,2025-01-29 12:41:16,email_upload,0.92,False,
INV-00026,COMP-03,VEN-0010,Sales,6600,4546.93,INR,818.45,2026-05-21,2026-07-05,Net 45,Disputed,,CTR-4375,USR-0025,2026-05-21 16:11:57,whatsapp_bot,0.86,False,
INV-00027,COMP-04,VEN-0014,HR,6300,40537.84,INR,7296.81,2025-12-10,2026-01-24,Net 30,Pending,,,USR-0018,2025-12-10 12:04:57,portal_upload,0.95,False,
INV-00028,COMP-04,VEN-0084,Marketing,6200,1730.37,INR,311.47,2025-08-17,2025-09-01,Net 45,Paid,PO-472632,CTR-2826,USR-0039,2025-08-17 09:17:54,whatsapp_bot,0.87,False,
INV-00029,COMP-03,VEN-0029,HR,7000,44557.87,INR,8020.42,2026-01-29,2026-03-15,Net 60,Paid,,,USR-0007,2026-01-29 16:16:55,portal_upload,0.82,False,
INV-00030,COMP-01,VEN-0012,IT,6200,397.42,INR,71.54,2026-05-07,2026-06-06,Net 15,Disputed,,,USR-0056,2026-05-07 15:28:03,scanned_document,0.81,False,
INV-00031,COMP-03,VEN-0011,Legal,6110,4346.9,INR,782.44,2026-04-17,2026-05-17,Net 45,Paid,,CTR-1178,USR-0117,2026-04-17 16:40:20,email_upload,0.85,False,
INV-00032,COMP-02,VEN-0069,HR,6200,2329.06,EUR,0.0,2025-05-23,2025-07-07,Net 30,Paid,PO-485589,,USR-0026,2025-05-23 14:47:02,whatsapp_bot,0.92,False,
INV-00033,COMP-04,VEN-0004,Sales,6800,161.79,INR,29.12,2026-05-11,2026-06-10,Net 45,Paid,PO-616007,,USR-0087,2026-05-11 14:32:54,whatsapp_bot,0.93,True,
INV-00034,COMP-04,VEN-0106,Engineering,6300,9430.92,INR,1697.57,2025-09-22,2025-11-21,Net 45,Pending,PO-352119,,USR-0014,2025-09-22 17:45:24,scanned_document,0.91,True,
INV-00035,COMP-05,VEN-0055,Sales,6300,5850.81,INR,1053.15,2026-04-09,2026-06-08,Net 15,Paid,PO-880639,,USR-0067,2026-04-09 18:42:14,scanned_document,0.85,False,
INV-00036,COMP-04,VEN-0018,IT,6500,11967.52,INR,2154.15,2026-01-21,2026-03-07,Net 60,Overdue,PO-567953,CTR-5150,USR-0092,2026-01-21 19:45:32,portal_upload,0.85,False,
INV-00037,COMP-02,VEN-0028,Finance,6500,80961.78,INR,14573.12,2025-01-10,2025-03-11,Net 60,Pending,PO-289002,,USR-0026,2025-01-10 19:48:45,whatsapp_bot,0.89,False,
INV-00038,COMP-04,VEN-0085,Legal,6400,15407.55,INR,2773.36,2025-05-11,2025-06-10,Net 45,Pending,PO-525868,,USR-0071,2025-05-11 13:07:02,scanned_document,0.92,False,
INV-00039,COMP-02,VEN-0048,Operations,6600,5260.04,INR,946.81,2025-06-17,2025-07-02,Net 15,Pending,PO-307950,,USR-0043,2025-06-17 19:56:49,scanned_document,0.97,False,
INV-00040,COMP-01,VEN-0023,Operations,6200,2706.81,INR,487.23,2025-08-31,2025-09-15,Net 45,Paid,PO-255835,CTR-2375,USR-0065,2025-08-31 10:59:05,portal_upload,0.89,True,
INV-00041,COMP-04,VEN-0065,Legal,6900,3956.09,INR,712.1,2025-02-22,2025-03-24,Net 30,Overdue,PO-340557,,USR-0107,2025-02-22 15:24:18,scanned_document,0.86,True,
INV-00042,COMP-05,VEN-0031,Operations,6500,41101.63,INR,7398.29,2026-06-19,2026-08-03,Net 45,Overdue,,,USR-0020,2026-06-19 09:14:46,scanned_document,0.9,True,
INV-00043,COMP-05,VEN-0067,Operations,7000,4671.51,INR,840.87,2025-11-20,2025-12-05,Net 60,Paid,PO-760013,,USR-0101,2025-11-20 14:32:15,whatsapp_bot,0.97,False,
INV-00044,COMP-04,VEN-0080,IT,6700,13681.74,INR,2462.71,2025-03-10,2025-04-24,Net 15,Overdue,PO-600062,,USR-0071,2025-03-10 17:14:28,portal_upload,0.98,False,
INV-00045,COMP-05,VEN-0005,R&D,6400,2840.36,INR,511.26,2026-04-23,2026-05-08,Net 45,Paid,PO-457353,,USR-0003,2026-04-23 10:54:48,scanned_document,0.88,True,
INV-00046,COMP-05,VEN-0022,HR,7000,10336.79,INR,1860.62,2026-03-13,2026-04-27,Net 60,Paid,,,USR-0020,2026-03-13 12:29:35,scanned_document,0.85,False,
INV-00047,COMP-05,VEN-0105,R&D,6600,2843.04,INR,511.75,2025-09-11,2025-09-26,Net 15,Paid,PO-996037,,USR-0067,2025-09-11 16:52:44,portal_upload,0.92,False,
INV-00048,COMP-04,VEN-0047,Operations,6700,11864.83,INR,2135.67,2025-12-28,2026-02-26,Net 30,Paid,PO-530515,,USR-0115,2025-12-28 10:14:00,whatsapp_bot,0.94,False,
INV-00049,COMP-05,VEN-0086,Engineering,6900,8959.32,INR,1612.68,2025-06-26,2025-08-10,Net 30,Disputed,PO-668954,,USR-0081,2025-06-26 11:54:47,scanned_document,0.92,True,
INV-00050,COMP-03,VEN-0010,Customer Success,6600,727.76,INR,131.0,2025-02-23,2025-03-25,Net 45,Disputed,PO-496479,,USR-0086,2025-02-23 19:25:19,scanned_document,0.86,False,
INV-00051,COMP-04,VEN-0062,Legal,7100,44559.3,INR,8020.67,2025-08-21,2025-09-20,Net 15,Paid,PO-829708,,USR-0107,2025-08-21 17:23:59,email_upload,0.96,False,
INV-00052,COMP-01,VEN-0095,IT,6110,2787.24,INR,501.7,2025-03-20,2025-05-19,Net 30,Paid,PO-295890,CTR-2848,USR-0030,2025-03-20 13:21:32,email_upload,0.89,False,
INV-00053,COMP-02,VEN-0020,R&D,6800,1145.56,USD,0.0,2025-06-06,2025-08-05,Net 30,Overdue,PO-733501,,USR-0052,2025-06-06 15:08:38,scanned_document,0.85,False,
INV-00054,COMP-01,VEN-0026,Customer Success,6500,58279.62,INR,10490.33,2025-04-23,2025-06-22,Net 30,Overdue,PO-635694,CTR-3811,USR-0010,2025-04-23 12:17:53,scanned_document,0.81,False,
INV-00055,COMP-01,VEN-0030,Sales,6900,21797.31,INR,3923.52,2026-01-01,2026-03-02,Net 60,Paid,PO-249473,,USR-0069,2026-01-01 11:40:13,portal_upload,0.84,False,
INV-00056,COMP-05,VEN-0046,IT,6600,7742.55,EUR,0.0,2026-02-18,2026-03-05,Net 60,Paid,PO-981091,,USR-0057,2026-02-18 15:21:22,email_upload,0.87,True,
INV-00057,COMP-03,VEN-0102,Finance,6800,2991.12,INR,538.4,2025-08-13,2025-09-27,Net 60,Overdue,PO-291273,CTR-9543,USR-0117,2025-08-13 11:35:35,email_upload,0.85,True,
INV-00058,COMP-02,VEN-0082,Legal,6700,4371.28,INR,786.83,2025-09-18,2025-11-17,Net 60,Pending,PO-488481,CTR-7181,USR-0052,2025-09-18 18:50:54,email_upload,0.95,True,
INV-00059,COMP-02,VEN-0027,Engineering,6300,37362.65,INR,6725.28,2025-05-24,2025-06-23,Net 30,Paid,PO-869045,,USR-0099,2025-05-24 12:03:27,email_upload,0.98,False,
INV-00060,COMP-03,VEN-0081,Sales,6200,1811.13,INR,326.0,2025-11-05,2025-11-20,Net 30,Paid,,,USR-0025,2025-11-05 11:07:02,email_upload,0.93,False,
INV-00061,COMP-03,VEN-0033,Legal,6900,6199.81,INR,1115.97,2025-01-26,2025-02-25,Net 60,Paid,PO-787060,,USR-0001,2025-01-26 11:50:22,email_upload,0.81,False,
INV-00062,COMP-03,VEN-0089,IT,6600,1421.67,INR,255.9,2025-01-05,2025-01-20,Net 60,Overdue,PO-697563,CTR-4456,USR-0048,2025-01-05 14:26:45,portal_upload,0.87,False,
INV-00063,COMP-01,VEN-0041,R&D,6900,6926.1,INR,1246.7,2025-12-11,2026-01-10,Net 60,Pending,PO-187000,,USR-0106,2025-12-11 17:31:17,email_upload,0.89,False,
INV-00064,COMP-03,VEN-0011,Legal,6110,9906.77,INR,1783.22,2025-04-10,2025-04-25,Net 45,Pending,PO-391399,,USR-0077,2025-04-10 13:13:04,scanned_document,0.95,True,
INV-00065,COMP-01,VEN-0110,HR,6400,5416.35,INR,974.94,2026-06-03,2026-06-18,Net 30,Paid,PO-136082,,USR-0056,2026-06-03 09:05:05,email_upload,0.84,False,
INV-00066,COMP-02,VEN-0044,Sales,6200,533.19,INR,95.97,2025-08-17,2025-10-16,Net 60,Disputed,PO-331898,CTR-7821,USR-0026,2025-08-17 12:16:16,portal_upload,0.83,False,
INV-00067,COMP-01,VEN-0071,Finance,6200,1245.17,INR,224.13,2025-06-21,2025-07-21,Net 60,Disputed,PO-485519,,USR-0029,2025-06-21 16:31:59,portal_upload,0.82,False,
INV-00068,COMP-01,VEN-0041,Engineering,6900,8287.05,INR,1491.67,2026-04-15,2026-04-30,Net 45,Cancelled,PO-818758,CTR-4119,USR-0100,2026-04-15 16:40:23,whatsapp_bot,0.93,False,
INV-00069,COMP-02,VEN-0097,HR,6500,68561.04,INR,12340.99,2025-10-21,2025-11-05,Net 60,Cancelled,PO-379515,,USR-0113,2025-10-21 19:37:45,portal_upload,0.81,False,
INV-00070,COMP-02,VEN-0027,Marketing,6300,14837.7,INR,2670.79,2026-06-12,2026-07-27,Net 60,Pending,,,USR-0043,2026-06-12 15:25:44,scanned_document,0.91,False,
INV-00071,COMP-05,VEN-0055,Customer Success,6300,27504.62,INR,4950.83,2026-01-30,2026-03-01,Net 30,Paid,PO-488042,CTR-2573,USR-0011,2026-01-30 14:35:08,whatsapp_bot,0.85,True,
INV-00072,COMP-04,VEN-0100,Marketing,6300,42071.94,INR,7572.95,2026-02-01,2026-04-02,Net 15,Paid,PO-151327,CTR-6433,USR-0018,2026-02-01 09:14:42,email_upload,0.89,False,
INV-00073,COMP-05,VEN-0055,Operations,6300,5561.04,INR,1000.99,2026-04-03,2026-05-03,Net 30,Pending,PO-211320,,USR-0081,2026-04-03 11:19:27,whatsapp_bot,0.93,False,
INV-00074,COMP-05,VEN-0043,Engineering,6500,9991.8,INR,1798.52,2025-07-15,2025-09-13,Net 30,Paid,PO-575912,,USR-0062,2025-07-15 19:13:27,email_upload,0.82,False,
INV-00075,COMP-05,VEN-0054,IT,6900,2193.1,INR,394.76,2025-03-28,2025-04-12,Net 45,Paid,PO-501012,CTR-8758,USR-0081,2025-03-28 12:16:58,whatsapp_bot,0.9,False,
INV-00076,COMP-04,VEN-0090,Sales,6500,47095.03,INR,8477.11,2025-02-16,2025-03-03,Net 60,Paid,PO-858126,,USR-0039,2025-02-16 14:15:03,portal_upload,0.85,True,
INV-00077,COMP-03,VEN-0070,IT,6900,21685.68,INR,3903.42,2025-06-09,2025-07-24,Net 60,Overdue,,,USR-0079,2025-06-09 10:51:24,portal_upload,0.84,True,
INV-00078,COMP-02,VEN-0048,Finance,6600,4181.87,INR,752.74,2025-08-16,2025-09-30,Net 60,Pending,PO-796419,CTR-9369,USR-0068,2025-08-16 11:32:01,portal_upload,0.91,True,
INV-00079,COMP-04,VEN-0059,Finance,6600,872.34,INR,157.02,2026-01-05,2026-02-04,Net 60,Overdue,PO-766093,,USR-0080,2026-01-05 15:41:47,email_upload,0.87,True,
INV-00080,COMP-02,VEN-0048,HR,6600,2304.9,INR,414.88,2026-05-14,2026-05-29,Net 45,Overdue,PO-560588,CTR-5020,USR-0034,2026-05-14 14:54:26,whatsapp_bot,0.85,True,
INV-00081,COMP-05,VEN-0015,Operations,6100,6873.2,INR,1237.18,2026-02-12,2026-03-29,Net 30,Cancelled,PO-111616,CTR-4796,USR-0003,2026-02-12 15:24:11,portal_upload,0.94,True,
INV-00082,COMP-01,VEN-0074,Finance,6110,7982.4,INR,1436.83,2025-04-03,2025-06-02,Net 30,Paid,PO-480854,CTR-4941,USR-0049,2025-04-03 12:28:19,portal_upload,0.8,True,
INV-00083,COMP-04,VEN-0077,Customer Success,6400,3751.24,INR,675.22,2026-04-26,2026-06-25,Net 15,Paid,PO-561820,CTR-2490,USR-0021,2026-04-26 10:16:48,portal_upload,0.98,False,
INV-00084,COMP-04,VEN-0038,Finance,6500,42256.19,INR,7606.11,2025-06-23,2025-07-08,Net 45,Pending,PO-667346,,USR-0111,2025-06-23 16:07:23,portal_upload,0.84,False,
INV-00085,COMP-02,VEN-0003,Finance,6700,7445.31,INR,1340.16,2025-01-04,2025-02-03,Net 15,Cancelled,PO-525613,,USR-0059,2025-01-04 12:42:34,scanned_document,0.85,True,
INV-00086,COMP-03,VEN-0089,Sales,6600,2217.98,INR,399.24,2026-05-29,2026-06-28,Net 45,Overdue,PO-404518,CTR-4295,USR-0032,2026-05-29 11:42:32,scanned_document,0.9,True,
INV-00087,COMP-05,VEN-0058,R&D,6900,24259.99,INR,4366.8,2025-03-02,2025-03-17,Net 15,Paid,PO-637054,,USR-0101,2025-03-02 18:02:37,email_upload,0.94,True,
INV-00088,COMP-01,VEN-0041,Finance,6900,15280.29,INR,2750.45,2025-05-15,2025-06-29,Net 30,Paid,PO-153054,,USR-0105,2025-05-15 10:01:39,portal_upload,0.83,True,
INV-00089,COMP-03,VEN-0049,R&D,6700,14455.95,INR,2602.07,2026-04-12,2026-05-12,Net 30,Disputed,PO-971613,,USR-0072,2026-04-12 12:17:17,portal_upload,0.9,True,
INV-00090,COMP-03,VEN-0045,Legal,6110,11116.78,INR,2001.02,2026-02-20,2026-03-22,Net 45,Pending,PO-631427,CTR-2985,USR-0025,2026-02-20 11:27:58,whatsapp_bot,0.84,False,
INV-00091,COMP-03,VEN-0087,Marketing,7000,39745.51,INR,7154.19,2026-03-22,2026-05-21,Net 45,Paid,PO-205615,CTR-3997,USR-0104,2026-03-22 19:45:27,whatsapp_bot,0.83,True,
INV-00092,COMP-04,VEN-0108,Marketing,6200,99.33,INR,17.88,2025-07-24,2025-09-22,Net 45,Paid,PO-328192,CTR-2068,USR-0018,2025-07-24 19:36:06,whatsapp_bot,0.96,False,
INV-00093,COMP-02,VEN-0008,Customer Success,6200,2617.7,INR,471.19,2025-02-21,2025-03-23,Net 30,Paid,PO-375660,,USR-0041,2025-02-21 10:16:16,portal_upload,0.89,True,
INV-00094,COMP-05,VEN-0005,Finance,6400,15211.26,INR,2738.03,2026-02-26,2026-04-27,Net 30,Paid,PO-637006,,USR-0067,2026-02-26 15:04:39,scanned_document,0.94,False,
INV-00095,COMP-03,VEN-0011,Finance,6100,13538.33,INR,2436.9,2026-03-18,2026-04-02,Net 60,Paid,PO-301989,,USR-0058,2026-03-18 19:31:40,portal_upload,0.89,True,
INV-00096,COMP-01,VEN-0007,Marketing,6110,4660.47,INR,838.88,2025-10-30,2025-12-14,Net 60,Overdue,PO-171447,,USR-0095,2025-10-30 11:07:05,portal_upload,0.99,True,
INV-00097,COMP-05,VEN-0039,Legal,6500,77444.89,INR,13940.08,2026-01-28,2026-02-12,Net 60,Paid,PO-777645,CTR-4326,USR-0116,2026-01-28 12:24:12,portal_upload,0.94,False,
INV-00098,COMP-05,VEN-0078,R&D,6500,21274.03,INR,3829.33,2025-06-02,2025-07-17,Net 15,Disputed,,,USR-0070,2025-06-02 12:07:35,portal_upload,0.82,False,
INV-00099,COMP-04,VEN-0065,Engineering,6900,20359.99,INR,3664.8,2026-01-08,2026-02-07,Net 45,Overdue,PO-333258,,USR-0012,2026-01-08 10:01:01,whatsapp_bot,0.92,False,
INV-00100,COMP-05,VEN-0015,Marketing,6100,6704.34,INR,1206.78,2025-08-09,2025-09-23,Net 15,Pending,PO-395318,,USR-0101,2025-08-09 13:11:36,portal_upload,0.89,False,
INV-00101,COMP-04,VEN-0077,Customer Success,6400,17883.28,USD,0.0,2026-03-21,2026-05-20,Net 30,Paid,PO-674226,,USR-0075,2026-03-21 18:51:13,email_upload,0.92,False,
INV-00102,COMP-04,VEN-0061,R&D,6700,20932.49,INR,3767.85,2025-02-14,2025-03-16,Net 60,Cancelled,PO-492799,CTR-3307,USR-0107,2025-02-14 15:25:43,portal_upload,0.93,False,
INV-00103,COMP-02,VEN-0107,Finance,6900,22043.15,INR,3967.77,2025-10-02,2025-12-01,Net 60,Pending,PO-983686,CTR-2678,USR-0031,2025-10-02 13:38:23,whatsapp_bot,0.83,False,
INV-00104,COMP-05,VEN-0039,Marketing,6500,22864.94,INR,4115.69,2026-02-09,2026-02-24,Net 45,Disputed,,CTR-2630,USR-0033,2026-02-09 12:24:29,email_upload,0.96,False,
INV-00105,COMP-03,VEN-0081,Customer Success,6200,2438.29,INR,438.89,2026-05-12,2026-06-11,Net 45,Overdue,PO-462514,CTR-9207,USR-0055,2026-05-12 11:57:34,portal_upload,0.88,True,
INV-00106,COMP-05,VEN-0058,Legal,6900,11943.78,INR,2149.88,2025-11-22,2025-12-07,Net 30,Pending,PO-816896,,USR-0081,2025-11-22 11:51:07,whatsapp_bot,0.93,False,
INV-00107,COMP-04,VEN-0062,IT,6500,52897.63,INR,9521.57,2025-03-30,2025-05-29,Net 45,Paid,PO-349353,CTR-8064,USR-0115,2025-03-30 11:49:03,scanned_document,0.86,False,
INV-00108,COMP-01,VEN-0110,IT,6400,17216.25,INR,3098.92,2026-05-17,2026-07-16,Net 60,Cancelled,PO-113140,CTR-2604,USR-0010,2026-05-17 10:37:24,scanned_document,0.98,False,
INV-00109,COMP-05,VEN-0078,IT,6500,68176.7,INR,12271.81,2025-10-11,2025-10-26,Net 60,Overdue,PO-208526,,USR-0112,2025-10-11 12:22:36,email_upload,0.86,False,
INV-00110,COMP-01,VEN-0071,Customer Success,6200,2907.75,INR,523.39,2026-05-05,2026-06-19,Net 30,Pending,PO-798605,,USR-0049,2026-05-05 17:02:45,email_upload,0.8,False,
INV-00111,COMP-01,VEN-0104,Marketing,6110,4084.43,EUR,0.0,2026-06-13,2026-08-12,Net 15,Cancelled,PO-685659,,USR-0110,2026-06-13 11:51:28,portal_upload,0.98,True,
INV-00112,COMP-04,VEN-0042,Finance,6600,754.64,INR,135.84,2026-01-24,2026-02-23,Net 30,Disputed,PO-227714,,USR-0013,2026-01-24 17:44:02,whatsapp_bot,0.96,False,
INV-00113,COMP-05,VEN-0099,Legal,6300,32419.24,INR,5835.46,2025-12-02,2026-01-01,Net 30,Disputed,PO-252326,,USR-0118,2025-12-02 14:45:43,portal_upload,0.96,False,
INV-00114,COMP-02,VEN-0040,Finance,6500,9657.01,INR,1738.26,2025-10-16,2025-12-15,Net 60,Overdue,,CTR-5044,USR-0015,2025-10-16 17:10:28,whatsapp_bot,0.87,False,
INV-00115,COMP-02,VEN-0069,Finance,6200,2113.21,INR,380.38,2025-05-11,2025-07-10,Net 60,Paid,PO-324552,,USR-0090,2025-05-11 15:18:18,whatsapp_bot,0.88,False,
INV-00116,COMP-04,VEN-0009,Customer Success,7000,23312.55,INR,4196.26,2026-03-14,2026-04-28,Net 45,Pending,PO-905788,,USR-0087,2026-03-14 15:06:14,whatsapp_bot,0.92,False,
INV-00117,COMP-03,VEN-0051,Sales,6500,26001.32,INR,4680.24,2026-06-12,2026-07-12,Net 60,Paid,PO-912427,,USR-0074,2026-06-12 16:53:29,whatsapp_bot,0.98,False,
INV-00118,COMP-02,VEN-0048,HR,6600,3531.02,INR,635.58,2025-01-21,2025-03-22,Net 45,Cancelled,PO-197244,,USR-0038,2025-01-21 12:44:51,whatsapp_bot,0.82,False,
INV-00119,COMP-01,VEN-0074,IT,6100,9674.83,INR,1741.47,2025-09-03,2025-11-02,Net 45,Paid,PO-138974,CTR-2289,USR-0045,2025-09-03 15:20:31,whatsapp_bot,0.99,False,
INV-00120,COMP-02,VEN-0069,Marketing,6200,175.54,INR,31.6,2025-03-09,2025-04-08,Net 15,Pending,PO-959785,CTR-8980,USR-0064,2025-03-09 10:24:09,whatsapp_bot,0.94,False,
INV-00121,COMP-05,VEN-0024,Sales,6400,16368.47,INR,2946.32,2026-04-10,2026-05-25,Net 15,Overdue,PO-511802,,USR-0035,2026-04-10 11:38:45,portal_upload,0.94,True,
INV-00122,COMP-05,VEN-0093,Finance,7100,58299.8,INR,10493.96,2026-05-05,2026-06-19,Net 30,Overdue,,,USR-0040,2026-05-05 15:05:55,scanned_document,0.97,True,
INV-00123,COMP-04,VEN-0061,Engineering,6700,21159.96,INR,3808.79,2025-10-27,2025-11-26,Net 60,Pending,PO-987157,CTR-2571,USR-0021,2025-10-27 16:51:46,whatsapp_bot,0.84,False,
INV-00124,COMP-01,VEN-0013,Operations,6100,4150.06,INR,747.01,2026-06-12,2026-08-11,Net 30,Paid,PO-811609,CTR-6259,USR-0105,2026-06-12 16:57:18,portal_upload,0.93,False,
INV-00125,COMP-02,VEN-0037,Engineering,6100,7936.74,INR,1428.61,2025-10-06,2025-11-05,Net 45,Paid,PO-632843,,USR-0059,2025-10-06 10:40:23,scanned_document,0.83,True,
INV-00126,COMP-05,VEN-0031,HR,6500,71192.8,INR,12814.7,2025-02-04,2025-03-06,Net 60,Overdue,PO-618206,CTR-6630,USR-0033,2025-02-04 12:08:34,email_upload,0.87,False,
INV-00127,COMP-03,VEN-0045,Marketing,6110,7538.36,INR,1356.9,2026-06-10,2026-07-10,Net 60,Cancelled,PO-494282,CTR-6633,USR-0117,2026-06-10 19:06:33,portal_upload,0.82,True,
INV-00128,COMP-01,VEN-0026,HR,6500,44571.92,INR,8022.95,2025-05-01,2025-06-30,Net 15,Overdue,,,USR-0010,2025-05-01 12:38:48,portal_upload,0.98,True,
INV-00129,COMP-01,VEN-0104,Legal,6100,7337.88,INR,1320.82,2025-12-17,2026-01-31,Net 15,Overdue,PO-314171,,USR-0105,2025-12-17 09:12:31,scanned_document,0.96,False,
INV-00130,COMP-02,VEN-0003,R&D,6700,27792.3,INR,5002.61,2026-03-26,2026-05-10,Net 30,Paid,PO-653860,CTR-5417,USR-0038,2026-03-26 09:26:59,whatsapp_bot,0.81,True,
INV-00131,COMP-04,VEN-0090,Engineering,6500,41471.22,INR,7464.82,2025-04-17,2025-06-16,Net 45,Cancelled,PO-908580,CTR-4919,USR-0014,2025-04-17 09:25:44,scanned_document,0.89,True,
INV-00132,COMP-01,VEN-0073,Marketing,6900,22305.93,INR,4015.07,2026-06-08,2026-07-08,Net 60,Cancelled,,,USR-0005,2026-06-08 12:08:01,email_upload,0.84,True,
INV-00133,COMP-04,VEN-0100,Legal,6300,10052.56,INR,1809.46,2025-12-19,2026-01-18,Net 45,Overdue,PO-223006,,USR-0115,2025-12-19 10:46:13,whatsapp_bot,0.94,False,
