budget_id,company_id,department,period,allocated,spent,remaining
BUD-00140,COMP-01,Legal,2026-02,208105.86,146422.51,61683.35
BUD-00141,COMP-01,Legal,2026-03,233525.23,226135.47,7389.76
BUD-00142,COMP-01,Legal,2026-04,203161.71,123721.03,79440.68
BUD-00143,COMP-01,Legal,2026-05,207003.8,155958.84,51044.96
BUD-00144,COMP-01,Legal,2026-06,212260.63,125596.79,86663.84
BUD-00145,COMP-01,R&D,2025-01,414500.0,347349.2,67150.8
BUD-00146,COMP-01,R&D,2025-02,410232.68,203954.01,206278.67
BUD-00147,COMP-01,R&D,2025-03,417941.61,442297.57,-24355.96
BUD-00148,COMP-01,R&D,2025-04,359863.12,346343.44,13519.68
BUD-00149,COMP-01,R&D,2025-05,384704.45,191159.19,193545.26
BUD-00150,COMP-01,R&D,2025-06,415058.74,403116.85,11941.89
BUD-00151,COMP-01,R&D,2025-07,367443.91,181483.22,185960.69
BUD-00152,COMP-01,R&D,2025-08,400004.77,199742.88,200261.89
BUD-00153,COMP-01,R&D,2025-09,400586.18,429725.34,-29139.16
BUD-00154,COMP-01,R&D,2025-10,353656.59,234217.65,119438.94
BUD-00155,COMP-01,R&D,2025-11,370862.82,174893.69,195969.13
BUD-00156,COMP-01,R&D,2025-12,408575.81,425588.63,-17012.82
BUD-00157,COMP-01,R&D,2026-01,396972.24,300782.86,96189.38
BUD-00158,COMP-01,R&D,2026-02,419359.55,409748.98,9610.57
BUD-00159,COMP-01,R&D,2026-03,445456.32,264240.73,181215.59
BUD-00160,COMP-01,R&D,2026-04,368445.25,375481.65,-7036.4
BUD-00161,COMP-01,R&D,2026-05,410182.25,407913.89,2268.36
BUD-00162,COMP-01,R&D,2026-06,365463.94,338451.21,27012.73
BUD-00163,COMP-01,Customer Success,2025-01,109948.95,48203.27,61745.68
BUD-00164,COMP-01,Customer Success,2025-02,116726.67,76242.43,40484.24
BUD-00165,COMP-01,Customer Success,2025-03,125436.01,129769.05,-4333.04
BUD-00166,COMP-01,Customer Success,2025-04,118717.51,91687.78,27029.73
BUD-00167,COMP-01,Customer Success,2025-05,118166.45,74381.2,43785.25
BUD-00168,COMP-01,Customer Success,2025-06,113869.53,40280.22,73589.31
BUD-00169,COMP-01,Customer Success,2025-07,113597.69,99705.84,13891.85
BUD-00170,COMP-01,Customer Success,2025-08,129600.99,110265.83,19335.16
BUD-00171,COMP-01,Customer Success,2025-09,119054.93,77386.18,41668.75
BUD-00172,COMP-01,Customer Success,2025-10,111633.38,58842.74,52790.64
BUD-00173,COMP-01,Customer Success,2025-11,135458.81,105515.46,29943.35
BUD-00174,COMP-01,Customer Success,2025-12,117967.21,87370.14,30597.07
BUD-00175,COMP-01,Customer Success,2026-01,120575.14,68073.85,52501.29
BUD-00176,COMP-01,Customer Success,2026-02,118373.43,78616.98,39756.45
BUD-00177,COMP-01,Customer Success,2026-03,132531.61,132586.78,-55.17
BUD-00178,COMP-01,Customer Success,2026-04,114553.59,78186.59,36367.0
BUD-00179,COMP-01,Customer Success,2026-05,112605.46,117730.84,-5125.38
BUD-00180,COMP-01,Customer Success,2026-06,110074.28,77214.36,32859.92
BUD-00181,COMP-02,Engineering,2025-01,85154.44,58395.94,26758.5
BUD-00182,COMP-02,Engineering,2025-02,75791.74,34920.19,40871.55
BUD-00183,COMP-02,Engineering,2025-03,85973.97,59834.21,26139.76
BUD-00184,COMP-02,Engineering,2025-04,81853.76,31880.98,49972.78
BUD-00185,COMP-02,Engineering,2025-05,82289.73,49689.59,32600.14
BUD-00186,COMP-02,Engineering,2025-06,77666.61,61174.0,16492.61
BUD-00187,COMP-02,Engineering,2025-07,80104.72,59130.91,20973.81
BUD-00188,COMP-02,Engineering,2025-08,90376.13,32574.3,57801.83
BUD-00189,COMP-02,Engineering,2025-09,85930.55,70040.68,15889.87
BUD-00190,COMP-02,Engineering,2025-10,94241.57,80477.64,13763.93
BUD-00191,COMP-02,Engineering,2025-11,93057.94,77584.8,15473.14
BUD-00192,COMP-02,Engineering,2025-12,80195.63,75690.09,4505.54
BUD-00193,COMP-02,Engineering,2026-01,91341.64,64430.98,26910.66
BUD-00194,COMP-02,Engineering,2026-02,94896.58,36592.53,58304.05
BUD-00195,COMP-02,Engineering,2026-03,94530.32,57748.45,36781.87
BUD-00196,COMP-02,Engineering,2026-04,86865.8,80942.23,5923.57
BUD-00197,COMP-02,Engineering,2026-05,78997.23,56252.75,22744.48
BUD-00198,COMP-02,Engineering,2026-06,75810.24,28540.82,47269.42
BUD-00199,COMP-02,Marketing,2025-01,368519.25,243793.65,124725.6
BUD-00200,COMP-02,Marketing,2025-02,358963.53,369889.73,-10926.2
BUD-00201,COMP-02,Marketing,2025-03,396239.11,386049.23,10189.88
BUD-00202,COMP-02,Marketing,2025-04,373594.77,257094.23,116500.54
BUD-00203,COMP-02,Marketing,2025-05,371166.93,289680.62,81486.31
BUD-00204,COMP-02,Marketing,2025-06,415566.94,319396.47,96170.47
BUD-00205,COMP-02,Marketing,2025-07,403721.26,232693.36,171027.9
BUD-00206,COMP-02,Marketing,2025-08,439227.45,159974.02,279253.43
BUD-00207,COMP-02,Marketing,2025-09,363406.02,304242.54,59163.48
BUD-00208,COMP-02,Marketing,2025-10,441208.86,427373.32,13835.54
BUD-00209,COMP-02,Marketing,2025-11,371105.27,385444.86,-14339.59
BUD-00210,COMP-02,Marketing,2025-12,391400.13,300148.73,91251.4
BUD-00211,COMP-02,Marketing,2026-01,409795.36,328154.51,81640.85
BUD-00212,COMP-02,Marketing,2026-02,432196.95,434815.73,-2618.78
BUD-00213,COMP-02,Marketing,2026-03,377818.74,378299.93,-481.19
BUD-00214,COMP-02,Marketing,2026-04,377809.06,320826.46,56982.6
BUD-00215,COMP-02,Marketing,2026-05,362576.72,295695.64,66881.08
BUD-00216,COMP-02,Marketing,2026-06,376327.78,404934.83,-28607.05
BUD-00217,COMP-02,Sales,2025-01,291866.81,307119.71,-15252.9
BUD-00218,COMP-02,Sales,2025-02,271970.41,243468.84,28501.57
BUD-00219,COMP-02,Sales,2025-03,310983.45,112725.88,198257.57
BUD-00220,COMP-02,Sales,2025-04,297177.47,129270.24,167907.23
BUD-00221,COMP-02,Sales,2025-05,336699.49,142356.19,194343.3
BUD-00222,COMP-02,Sales,2025-06,310033.48,231449.4,78584.08
BUD-00223,COMP-02,Sales,2025-07,272678.32,281426.56,-8748.24
BUD-00224,COMP-02,Sales,2025-08,305525.55,244793.61,60731.94
BUD-00225,COMP-02,Sales,2025-09,282789.88,130727.53,152062.35
BUD-00226,COMP-02,Sales,2025-10,287362.25,107853.11,179509.14
BUD-00227,COMP-02,Sales,2025-11,278246.41,198133.33,80113.08
BUD-00228,COMP-02,Sales,2025-12,292098.75,264366.77,27731.98
BUD-00229,COMP-02,Sales,2026-01,273893.01,137103.76,136789.25
BUD-00230,COMP-02,Sales,2026-02,301808.57,257024.29,44784.28
BUD-00231,COMP-02,Sales,2026-03,286528.2,143515.97,143012.23
BUD-00232,COMP-02,Sales,2026-04,272674.4,167807.22,104867.18
BUD-00233,COMP-02,Sales,2026-05,291275.74,271393.35,19882.39
BUD-00234,COMP-02,Sales,2026-06,281090.51,168260.13,112830.38
BUD-00235,COMP-02,HR,2025-01,303107.85,114623.98,188483.87
BUD-00236,COMP-02,HR,2025-02,364028.67,370430.35,-6401.68
BUD-00237,COMP-02,HR,2025-03,311782.93,173613.21,138169.72
BUD-00238,COMP-02,HR,2025-04,323244.87,162759.81,160485.06
BUD-00239,COMP-02,HR,2025-05,349242.0,347901.14,1340.86
BUD-00240,COMP-02,HR,2025-06,343319.36,220265.9,123053.46
BUD-00241,COMP-02,HR,2025-07,353494.15,365360.48,-11866.33
BUD-00242,COMP-02,HR,2025-08,301256.62,252434.72,48821.9
BUD-00243,COMP-02,HR,2025-09,300366.76,321362.38,-20995.62
BUD-00244,COMP-02,HR,2025-10,349970.64,227161.4,122809.24
BUD-00245,COMP-02,HR,2025-11,345623.23,194936.88,150686.35
BUD-00246,COMP-02,HR,2025-12,291683.54,211447.85,80235.69
BUD-00247,COMP-02,HR,2026-01,292614.69,199994.86,92619.83
BUD-00248,COMP-02,HR,2026-02,354530.08,273442.47,81087.61
BUD-00249,COMP-02,HR,2026-03,307793.42,155378.38,152415.04
BUD-00250,COMP-02,HR,2026-04,331057.17,238950.18,92106.99
BUD-00251,COMP-02,HR,2026-05,358562.39,170381.68,188180.71
BUD-00252,COMP-02,HR,2026-06,323720.1,219107.59,104612.51
BUD-00253,COMP-02,Operations,2025-01,189864.64,119593.26,70271.38
BUD-00254,COMP-02,Operations,2025-02,207750.84,102138.07,105612.77
BUD-00255,COMP-02,Operations,2025-03,196601.6,144427.34,52174.26
BUD-00256,COMP-02,Operations,2025-04,227665.55,159895.72,67769.83
BUD-00257,COMP-02,Operations,2025-05,197889.2,74232.56,123656.64
BUD-00258,COMP-02,Operations,2025-06,206503.64,124148.58,82355.06
BUD-00259,COMP-02,Operations,2025-07,186332.63,129709.44,56623.19
BUD-00260,COMP-02,Operations,2025-08,211421.98,128215.11,83206.87
BUD-00261,COMP-02,Operations,2025-09,217393.18,176369.82,41023.36
BUD-00262,COMP-02,Operations,2025-10,183673.05,70895.15,112777.9
BUD-00263,COMP-02,Operations,2025-11,206879.89,163811.55,43068.34
BUD-00264,COMP-02,Operations,2025-12,208457.15,107846.42,100610.73
BUD-00265,COMP-02,Operations,2026-01,197795.28,172860.95,24934.33
BUD-00266,COMP-02,Operations,2026-02,200428.02,147542.58,52885.44
BUD-00267,COMP-02,Operations,2026-03,191982.58,155337.76,36644.82
BUD-00268,COMP-02,Operations,2026-04,204564.99,72021.44,132543.55
BUD-00269,COMP-02,Operations,2026-05,218359.48,204438.14,13921.34
BUD-00270,COMP-02,Operations,2026-06,230019.2,238735.43,-8716.23
BUD-00271,COMP-02,Finance,2025-01,309808.7,168525.95,141282.75
BUD-00272,COMP-02,Finance,2025-02,327850.25,214994.44,112855.81
BUD-00273,COMP-02,Finance,2025-03,298848.92,130104.75,168744.17
BUD-00274,COMP-02,Finance,2025-04,320377.59,278308.59,42069.0
BUD-00275,COMP-02,Finance,2025-05,332854.87,153569.07,179285.8
BUD-00276,COMP-02,Finance,2025-06,289858.45,236287.85,53570.6
BUD-00277,COMP-02,Finance,2025-07,284121.07,283274.74,846.33
BUD-00278,COMP-02,Finance,2025-08,344901.64,279567.82,65333.82
BUD-00279,COMP-02,Finance,2025-09,294165.17,223717.1,70448.07
BUD-00280,COMP-02,Finance,2025-10,332618.93,200168.46,132450.47
BUD-00281,COMP-02,Finance,2025-11,323728.33,255419.09,68309.24
BUD-00282,COMP-02,Finance,2025-12,343475.37,314820.5,28654.87
BUD-00283,COMP-02,Finance,2026-01,325224.64,243201.26,82023.38
BUD-00284,COMP-02,Finance,2026-02,342038.31,270188.44,71849.87
BUD-00285,COMP-02,Finance,2026-03,326745.8,188435.03,138310.77
BUD-00286,COMP-02,Finance,2026-04,282430.33,213856.98,68573.35
BUD-00287,COMP-02,Finance,2026-05,291193.51,308035.92,-16842.41
BUD-00288,COMP-02,Finance,2026-06,291105.32,292208.68,-1103.36
BUD-00289,COMP-02,IT,2025-01,176967.4,136502.02,40465.38
BUD-00290,COMP-02,IT,2025-02,183061.09,196865.5,-13804.41
BUD-00291,COMP-02,IT,2025-03,196843.46,83409.46,113434.0
BUD-00292,COMP-02,IT,2025-04,182489.23,78765.93,103723.3
BUD-00293,COMP-02,IT,2025-05,191054.95,140477.45,50577.5
BUD-00294,COMP-02,IT,2025-06,182762.13,153728.82,29033.31
BUD-00295,COMP-02,IT,2025-07,188781.52,179047.69,9733.83
BUD-00296,COMP-02,IT,2025-08,199715.13,107615.45,92099.68
BUD-00297,COMP-02,IT,2025-09,206755.1,76831.79,129923.31
BUD-00298,COMP-02,IT,2025-10,178998.62,66354.42,112644.2
BUD-00299,COMP-02,IT,2025-11,212428.15,157393.84,55034.31
BUD-00300,COMP-02,IT,2025-12,207286.42,222365.47,-15079.05
BUD-00301,COMP-02,IT,2026-01,172288.62,173496.7,-1208.08
BUD-00302,COMP-02,IT,2026-02,168985.65,145617.31,23368.34
BUD-00303,COMP-02,IT,2026-03,205038.24,129352.25,75685.99
BUD-00304,COMP-02,IT,2026-04,209562.28,190639.29,18922.99
BUD-00305,COMP-02,IT,2026-05,191242.51,106155.43,85087.08
BUD-00306,COMP-02,IT,2026-06,175452.72,71165.42,104287.3
BUD-00307,COMP-02,Legal,2025-01,261151.99,127170.65,133981.34
BUD-00308,COMP-02,Legal,2025-02,261507.48,106682.04,154825.44
BUD-00309,COMP-02,Legal,2025-03,247040.44,207132.62,39907.82
BUD-00310,COMP-02,Legal,2025-04,237502.45,173794.14,63708.31
BUD-00311,COMP-02,Legal,2025-05,236392.33,234948.87,1443.46
BUD-00312,COMP-02,Legal,2025-06,241307.14,248530.41,-7223.27
BUD-00313,COMP-02,Legal,2025-07,286060.03,301580.76,-15520.73
BUD-00314,COMP-02,Legal,2025-08,245796.37,208326.95,37469.42
BUD-00315,COMP-02,Legal,2025-09,232351.8,246199.3,-13847.5
BUD-00316,COMP-02,Legal,2025-10,271750.21,102444.34,169305.87
BUD-00317,COMP-02,Legal,2025-11,236686.46,101078.4,135608.06
BUD-00318,COMP-02,Legal,2025-12,249943.02,258481.02,-8538.0
BUD-00319,COMP-02,Legal,2026-01,277880.12,163408.13,114471.99
BUD-00320,COMP-02,Legal,2026-02,279178.43,99865.78,179312.65
BUD-00321,COMP-02,Legal,2026-03,262419.28,166427.57,95991.71
BUD-00322,COMP-02,Legal,2026-04,232707.26,237634.23,-4926.97
BUD-00323,COMP-02,Legal,2026-05,269559.41,290271.68,-20712.27
BUD-00324,COMP-02,Legal,2026-06,268444.16,215646.94,52797.22
BUD-00325,COMP-02,R&D,2025-01,123089.34,123661.58,-572.24
BUD-00326,COMP-02,R&D,2025-02,125581.35,102456.64,23124.71
BUD-00327,COMP-02,R&D,2025-03,122592.62,74956.77,47635.85
BUD-00328,COMP-02,R&D,2025-04,109064.17,55579.79,53484.38
BUD-00329,COMP-02,R&D,2025-05,114334.28,47636.05,66698.23
BUD-00330,COMP-02,R&D,2025-06,110345.55,99484.48,10861.07
BUD-00331,COMP-02,R&D,2025-07,138769.34,119247.84,19521.5
BUD-00332,COMP-02,R&D,2025-08,133794.1,67303.69,66490.41
BUD-00333,COMP-02,R&D,2025-09,134364.81,84371.15,49993.66
BUD-00334,COMP-02,R&D,2025-10,134519.17,70436.9,64082.27
BUD-00335,COMP-02,R&D,2025-11,117739.13,86473.98,31265.15
BUD-00336,COMP-02,R&D,2025-12,115463.21,62205.96,53257.25
BUD-00337,COMP-02,R&D,2026-01,130654.44,121010.68,9643.76
BUD-00338,COMP-02,R&D,2026-02,138395.63,114570.48,23825.15
BUD-00339,COMP-02,R&D,2026-03,119296.56,82602.45,36694.11
BUD-00340,COMP-02,R&D,2026-04,126399.17,98908.61,27490.56
BUD-00341,COMP-02,R&D,2026-05,136413.81,104216.81,32197.0
BUD-00342,COMP-02,R&D,2026-06,137744.92,96259.53,41485.39
BUD-00343,COMP-02,Customer Success,2025-01,202117.51,118564.14,83553.37
BUD-00344,COMP-02,Customer Success,2025-02,227395.18,81509.93,145885.25
BUD-00345,COMP-02,Customer Success,2025-03,224987.9,97791.21,127196.69
BUD-00346,COMP-02,Customer Success,2025-04,215403.32,214401.54,1001.78
BUD-00347,COMP-02,Customer Success,2025-05,251494.2,109025.87,142468.33
BUD-00348,COMP-02,Customer Success,2025-06,233246.87,164455.74,68791.13
BUD-00349,COMP-02,Customer Success,2025-07,203492.83,115404.72,88088.11
BUD-00350,COMP-02,Customer Success,2025-08,230265.37,152084.95,78180.42
BUD-00351,COMP-02,Customer Success,2025-09,232237.84,92480.0,139757.84
BUD-00352,COMP-02,Customer Success,2025-10,234649.29,186860.17,47789.12
BUD-00353,COMP-02,Customer Success,2025-11,211068.72,161239.36,49829.36
BUD-00354,COMP-02,Customer Success,2025-12,252531.81,252660.14,-128.33
BUD-00355,COMP-02,Customer Success,2026-01,234854.27,171475.03,63379.24
BUD-00356,COMP-02,Customer Success,2026-02,242262.9,165057.92,77204.98
BUD-00357,COMP-02,Customer Success,2026-03,239871.57,149221.39,90650.18
BUD-00358,COMP-02,Customer Success,2026-04,231425.66,204967.54,26458.12
BUD-00359,COMP-02,Customer Success,2026-05,233099.01,184176.08,48922.93
BUD-00360,COMP-02,Customer Success,2026-06,221908.57,134380.55,87528.02
BUD-00361,COMP-03,Engineering,2025-01,293015.86,196875.28,96140.58
BUD-00362,COMP-03,Engineering,2025-02,288155.5,161997.53,126157.97
BUD-00363,COMP-03,Engineering,2025-03,306049.56,303279.06,2770.5
BUD-00364,COMP-03,Engineering,2025-04,274835.28,226533.3,48301.98
BUD-00365,COMP-03,Engineering,2025-05,299204.94,243874.34,55330.6
BUD-00366,COMP-03,Engineering,2025-06,308757.89,198240.29,110517.6
BUD-00367,COMP-03,Engineering,2025-07,261478.3,160869.72,100608.58
BUD-00368,COMP-03,Engineering,2025-08,298462.6,241628.61,56833.99
BUD-00369,COMP-03,Engineering,2025-09,327837.21,272117.56,55719.65
BUD-00370,COMP-03,Engineering,2025-10,308023.3,186618.71,121404.59
BUD-00371,COMP-03,Engineering,2025-11,318249.74,141486.8,176762.94
BUD-00372,COMP-03,Engineering,2025-12,324827.27,229785.92,95041.35
BUD-00373,COMP-03,Engineering,2026-01,293562.56,251065.23,42497.33
