transaction_id,company_id,date,type,category,amount
CT-000073,COMP-01,2025-02-06,inflow,Revenue/Collections,169789.26
CT-000074,COMP-01,2025-02-06,outflow,Operating Expenses,138919.91
CT-000075,COMP-01,2025-02-07,inflow,Revenue/Collections,185169.87
CT-000076,COMP-01,2025-02-07,outflow,Payroll,111189.8
CT-000077,COMP-01,2025-02-08,inflow,Revenue/Collections,75809.4
CT-000078,COMP-01,2025-02-08,outflow,Payroll,41711.59
CT-000079,COMP-01,2025-02-09,inflow,Revenue/Collections,85853.58
CT-000080,COMP-01,2025-02-09,outflow,Payroll,31473.37
CT-000081,COMP-01,2025-02-10,inflow,Revenue/Collections,196140.57
CT-000082,COMP-01,2025-02-10,outflow,Vendor Payments,123937.62
CT-000083,COMP-01,2025-02-11,inflow,Revenue/Collections,198625.35
CT-000084,COMP-01,2025-02-11,outflow,Operating Expenses,109519.6
CT-000085,COMP-01,2025-02-12,inflow,Revenue/Collections,199100.66
CT-000086,COMP-01,2025-02-12,outflow,Vendor Payments,121329.09
CT-000087,COMP-01,2025-02-13,inflow,Revenue/Collections,177248.96
CT-000088,COMP-01,2025-02-13,outflow,Operating Expenses,134339.5
CT-000089,COMP-01,2025-02-14,inflow,Revenue/Collections,186177.12
CT-000090,COMP-01,2025-02-14,outflow,Operating Expenses,123544.68
CT-000091,COMP-01,2025-02-15,inflow,Revenue/Collections,76015.95
CT-000092,COMP-01,2025-02-15,outflow,Payroll,27893.26
CT-000093,COMP-01,2025-02-16,inflow,Revenue/Collections,90133.45
CT-000094,COMP-01,2025-02-16,outflow,Payroll,32198.04
CT-000095,COMP-01,2025-02-17,inflow,Revenue/Collections,173434.42
CT-000096,COMP-01,2025-02-17,outflow,Operating Expenses,122010.79
CT-000097,COMP-01,2025-02-18,inflow,Revenue/Collections,191977.66
CT-000098,COMP-01,2025-02-18,outflow,Payroll,105119.39
CT-000099,COMP-01,2025-02-19,inflow,Revenue/Collections,176713.04
CT-000100,COMP-01,2025-02-19,outflow,Vendor Payments,140539.36
CT-000101,COMP-01,2025-02-20,inflow,Revenue/Collections,178611.1
CT-000102,COMP-01,2025-02-20,outflow,Operating Expenses,111235.51
CT-000103,COMP-01,2025-02-21,inflow,Revenue/Collections,190718.51
CT-000104,COMP-01,2025-02-21,outflow,Payroll,135703.82
CT-000105,COMP-01,2025-02-22,inflow,Revenue/Collections,71356.05
CT-000106,COMP-01,2025-02-22,outflow,Vendor Payments,31549.75
CT-000107,COMP-01,2025-02-23,inflow,Revenue/Collections,71907.9
CT-000108,COMP-01,2025-02-23,outflow,Operating Expenses,27370.14
CT-000109,COMP-01,2025-02-24,inflow,Revenue/Collections,202086.76
CT-000110,COMP-01,2025-02-24,outflow,Vendor Payments,134585.44
CT-000111,COMP-01,2025-02-25,inflow,Revenue/Collections,181958.99
CT-000112,COMP-01,2025-02-25,outflow,Operating Expenses,126087.1
CT-000113,COMP-01,2025-02-26,inflow,Revenue/Collections,179998.38
CT-000114,COMP-01,2025-02-26,outflow,Vendor Payments,199295.98
CT-000115,COMP-01,2025-02-27,inflow,Revenue/Collections,190263.15
CT-000116,COMP-01,2025-02-27,outflow,Operating Expenses,235264.0
CT-000117,COMP-01,2025-02-28,inflow,Revenue/Collections,172032.84
CT-000118,COMP-01,2025-02-28,outflow,Vendor Payments,214658.34
CT-000119,COMP-01,2025-03-01,inflow,Revenue/Collections,79563.74
CT-000120,COMP-01,2025-03-01,outflow,Operating Expenses,43311.34
CT-000121,COMP-01,2025-03-02,inflow,Revenue/Collections,92652.7
CT-000122,COMP-01,2025-03-02,outflow,Payroll,31743.98
CT-000123,COMP-01,2025-03-03,inflow,Revenue/Collections,207280.33
CT-000124,COMP-01,2025-03-03,outflow,Operating Expenses,105722.84
CT-000125,COMP-01,2025-03-04,inflow,Revenue/Collections,215214.28
CT-000126,COMP-01,2025-03-04,outflow,Vendor Payments,121584.5
CT-000127,COMP-01,2025-03-05,inflow,Revenue/Collections,229659.58
CT-000128,COMP-01,2025-03-05,outflow,Vendor Payments,130825.63
CT-000129,COMP-01,2025-03-06,inflow,Revenue/Collections,188607.42
CT-000130,COMP-01,2025-03-06,outflow,Vendor Payments,125422.01
CT-000131,COMP-01,2025-03-07,inflow,Revenue/Collections,182759.93
CT-000132,COMP-01,2025-03-07,outflow,Operating Expenses,130731.05
CT-000133,COMP-01,2025-03-08,inflow,Revenue/Collections,96577.33
CT-000134,COMP-01,2025-03-08,outflow,Operating Expenses,47685.32
CT-000135,COMP-01,2025-03-09,inflow,Revenue/Collections,69636.23
CT-000136,COMP-01,2025-03-09,outflow,Operating Expenses,31912.72
CT-000137,COMP-01,2025-03-10,inflow,Revenue/Collections,193776.46
CT-000138,COMP-01,2025-03-10,outflow,Operating Expenses,121546.3
CT-000139,COMP-01,2025-03-11,inflow,Revenue/Collections,185081.23
CT-000140,COMP-01,2025-03-11,outflow,Payroll,131242.11
CT-000141,COMP-01,2025-03-12,inflow,Revenue/Collections,210960.97
CT-000142,COMP-01,2025-03-12,outflow,Operating Expenses,115451.45
CT-000143,COMP-01,2025-03-13,inflow,Revenue/Collections,182707.74
CT-000144,COMP-01,2025-03-13,outflow,Vendor Payments,137412.97
CT-000145,COMP-01,2025-03-14,inflow,Revenue/Collections,188385.58
CT-000146,COMP-01,2025-03-14,outflow,Payroll,124555.21
CT-000147,COMP-01,2025-03-15,inflow,Revenue/Collections,76980.85
CT-000148,COMP-01,2025-03-15,outflow,Vendor Payments,42874.43
CT-000149,COMP-01,2025-03-16,inflow,Revenue/Collections,84276.96
CT-000150,COMP-01,2025-03-16,outflow,Vendor Payments,38661.77
CT-000151,COMP-01,2025-03-17,inflow,Revenue/Collections,189635.44
CT-000152,COMP-01,2025-03-17,outflow,Payroll,130525.56
CT-000153,COMP-01,2025-03-18,inflow,Revenue/Collections,196715.88
CT-000154,COMP-01,2025-03-18,outflow,Operating Expenses,141219.75
CT-000155,COMP-01,2025-03-19,inflow,Revenue/Collections,208954.18
CT-000156,COMP-01,2025-03-19,outflow,Payroll,112303.61
CT-000157,COMP-01,2025-03-20,inflow,Revenue/Collections,205169.62
CT-000158,COMP-01,2025-03-20,outflow,Payroll,116156.21
CT-000159,COMP-01,2025-03-21,inflow,Revenue/Collections,183360.18
CT-000160,COMP-01,2025-03-21,outflow,Operating Expenses,126924.97
CT-000161,COMP-01,2025-03-22,inflow,Revenue/Collections,89642.74
CT-000162,COMP-01,2025-03-22,outflow,Payroll,24294.39
CT-000163,COMP-01,2025-03-23,inflow,Revenue/Collections,76678.45
CT-000164,COMP-01,2025-03-23,outflow,Payroll,27597.75
CT-000165,COMP-01,2025-03-24,inflow,Revenue/Collections,198769.06
CT-000166,COMP-01,2025-03-24,outflow,Payroll,123481.89
CT-000167,COMP-01,2025-03-25,inflow,Revenue/Collections,181091.09
CT-000168,COMP-01,2025-03-25,outflow,Vendor Payments,140370.24
CT-000169,COMP-01,2025-03-26,inflow,Revenue/Collections,176331.33
CT-000170,COMP-01,2025-03-26,outflow,Payroll,181178.27
CT-000171,COMP-01,2025-03-27,inflow,Revenue/Collections,213697.89
CT-000172,COMP-01,2025-03-27,outflow,Payroll,171931.89
CT-000173,COMP-01,2025-03-28,inflow,Revenue/Collections,201601.82
CT-000174,COMP-01,2025-03-28,outflow,Vendor Payments,216443.24
CT-000175,COMP-01,2025-03-29,inflow,Revenue/Collections,77991.05
CT-000176,COMP-01,2025-03-29,outflow,Operating Expenses,63186.37
CT-000177,COMP-01,2025-03-30,inflow,Revenue/Collections,65695.68
CT-000178,COMP-01,2025-03-30,outflow,Vendor Payments,78196.12
CT-000179,COMP-01,2025-03-31,inflow,Revenue/Collections,184440.3
CT-000180,COMP-01,2025-03-31,outflow,Operating Expenses,236979.46
CT-000181,COMP-01,2025-04-01,inflow,Revenue/Collections,200222.26
CT-000182,COMP-01,2025-04-01,outflow,Vendor Payments,119258.4
CT-000183,COMP-01,2025-04-02,inflow,Revenue/Collections,229156.12
CT-000184,COMP-01,2025-04-02,outflow,Payroll,126968.99
CT-000185,COMP-01,2025-04-03,inflow,Revenue/Collections,245736.67
CT-000186,COMP-01,2025-04-03,outflow,Operating Expenses,140152.18
CT-000187,COMP-01,2025-04-04,inflow,Revenue/Collections,205558.45
CT-000188,COMP-01,2025-04-04,outflow,Vendor Payments,133423.75
CT-000189,COMP-01,2025-04-05,inflow,Revenue/Collections,75314.75
CT-000190,COMP-01,2025-04-05,outflow,Operating Expenses,34943.96
CT-000191,COMP-01,2025-04-06,inflow,Revenue/Collections,83281.32
CT-000192,COMP-01,2025-04-06,outflow,Vendor Payments,30660.42
CT-000193,COMP-01,2025-04-07,inflow,Revenue/Collections,184998.25
CT-000194,COMP-01,2025-04-07,outflow,Payroll,137448.08
CT-000195,COMP-01,2025-04-08,inflow,Revenue/Collections,212779.38
CT-000196,COMP-01,2025-04-08,outflow,Operating Expenses,115980.58
CT-000197,COMP-01,2025-04-09,inflow,Revenue/Collections,185149.84
CT-000198,COMP-01,2025-04-09,outflow,Operating Expenses,137203.56
CT-000199,COMP-01,2025-04-10,inflow,Revenue/Collections,186505.05
CT-000200,COMP-01,2025-04-10,outflow,Operating Expenses,133895.99
CT-000201,COMP-01,2025-04-11,inflow,Revenue/Collections,194322.36
CT-000202,COMP-01,2025-04-11,outflow,Vendor Payments,124016.64
CT-000203,COMP-01,2025-04-12,inflow,Revenue/Collections,95370.77
CT-000204,COMP-01,2025-04-12,outflow,Payroll,31698.96
CT-000205,COMP-01,2025-04-13,inflow,Revenue/Collections,60677.84
CT-000206,COMP-01,2025-04-13,outflow,Operating Expenses,27614.45
CT-000207,COMP-01,2025-04-14,inflow,Revenue/Collections,200854.36
CT-000208,COMP-01,2025-04-14,outflow,Vendor Payments,120945.45
CT-000209,COMP-01,2025-04-15,inflow,Revenue/Collections,208856.29
CT-000210,COMP-01,2025-04-15,outflow,Vendor Payments,136654.94
CT-000211,COMP-01,2025-04-16,inflow,Revenue/Collections,183020.3
CT-000212,COMP-01,2025-04-16,outflow,Vendor Payments,142574.31
CT-000213,COMP-01,2025-04-17,inflow,Revenue/Collections,211771.21
CT-000214,COMP-01,2025-04-17,outflow,Vendor Payments,136811.13
CT-000215,COMP-01,2025-04-18,inflow,Revenue/Collections,215377.71
CT-000216,COMP-01,2025-04-18,outflow,Operating Expenses,112918.76
CT-000217,COMP-01,2025-04-19,inflow,Revenue/Collections,68566.69
CT-000218,COMP-01,2025-04-19,outflow,Vendor Payments,42368.85
CT-000219,COMP-01,2025-04-20,inflow,Revenue/Collections,70052.65
CT-000220,COMP-01,2025-04-20,outflow,Vendor Payments,39061.63
CT-000221,COMP-01,2025-04-21,inflow,Revenue/Collections,183090.41
CT-000222,COMP-01,2025-04-21,outflow,Payroll,123048.05
CT-000223,COMP-01,2025-04-22,inflow,Revenue/Collections,193622.24
CT-000224,COMP-01,2025-04-22,outflow,Payroll,145744.58
CT-000225,COMP-01,2025-04-23,inflow,Revenue/Collections,196395.29
CT-000226,COMP-01,2025-04-23,outflow,Payroll,132360.19
CT-000227,COMP-01,2025-04-24,inflow,Revenue/Collections,184700.24
CT-000228,COMP-01,2025-04-24,outflow,Payroll,118958.52
CT-000229,COMP-01,2025-04-25,inflow,Revenue/Collections,208617.8
CT-000230,COMP-01,2025-04-25,outflow,Payroll,124752.24
CT-000231,COMP-01,2025-04-26,inflow,Revenue/Collections,87002.4
CT-000232,COMP-01,2025-04-26,outflow,Operating Expenses,64190.17
CT-000233,COMP-01,2025-04-27,inflow,Revenue/Collections,81511.0
CT-000234,COMP-01,2025-04-27,outflow,Operating Expenses,45878.05
CT-000235,COMP-01,2025-04-28,inflow,Revenue/Collections,185399.91
CT-000236,COMP-01,2025-04-28,outflow,Operating Expenses,159074.28
CT-000237,COMP-01,2025-04-29,inflow,Revenue/Collections,186378.03
CT-000238,COMP-01,2025-04-29,outflow,Payroll,194103.81
CT-000239,COMP-01,2025-04-30,inflow,Revenue/Collections,185720.82
CT-000240,COMP-01,2025-04-30,outflow,Vendor Payments,187802.08
CT-000241,COMP-01,2025-05-01,inflow,Revenue/Collections,221435.07
CT-000242,COMP-01,2025-05-01,outflow,Vendor Payments,144404.5
CT-000243,COMP-01,2025-05-02,inflow,Revenue/Collections,207339.46
CT-000244,COMP-01,2025-05-02,outflow,Payroll,136326.64
CT-000245,COMP-01,2025-05-03,inflow,Revenue/Collections,85687.15
CT-000246,COMP-01,2025-05-03,outflow,Operating Expenses,24836.69
CT-000247,COMP-01,2025-05-04,inflow,Revenue/Collections,96115.04
CT-000248,COMP-01,2025-05-04,outflow,Operating Expenses,32646.94
CT-000249,COMP-01,2025-05-05,inflow,Revenue/Collections,255027.21
CT-000250,COMP-01,2025-05-05,outflow,Operating Expenses,136404.88
CT-000251,COMP-01,2025-05-06,inflow,Revenue/Collections,205993.37
CT-000252,COMP-01,2025-05-06,outflow,Vendor Payments,140288.07
CT-000253,COMP-01,2025-05-07,inflow,Revenue/Collections,191191.64
CT-000254,COMP-01,2025-05-07,outflow,Operating Expenses,116238.71
CT-000255,COMP-01,2025-05-08,inflow,Revenue/Collections,219043.77
CT-000256,COMP-01,2025-05-08,outflow,Payroll,117286.7
CT-000257,COMP-01,2025-05-09,inflow,Revenue/Collections,206511.16
CT-000258,COMP-01,2025-05-09,outflow,Operating Expenses,112833.52
CT-000259,COMP-01,2025-05-10,inflow,Revenue/Collections,84189.34
CT-000260,COMP-01,2025-05-10,outflow,Payroll,46612.12
CT-000261,COMP-01,2025-05-11,inflow,Revenue/Collections,73909.96
CT-000262,COMP-01,2025-05-11,outflow,Payroll,43512.92
CT-000263,COMP-01,2025-05-12,inflow,Revenue/Collections,219357.69
CT-000264,COMP-01,2025-05-12,outflow,Payroll,121395.14
CT-000265,COMP-01,2025-05-13,inflow,Revenue/Collections,199552.95
CT-000266,COMP-01,2025-05-13,outflow,Payroll,140685.17
CT-000267,COMP-01,2025-05-14,inflow,Revenue/Collections,184504.73
CT-000268,COMP-01,2025-05-14,outflow,Payroll,144186.97
CT-000269,COMP-01,2025-05-15,inflow,Revenue/Collections,197450.36
CT-000270,COMP-01,2025-05-15,outflow,Operating Expenses,124449.56
CT-000271,COMP-01,2025-05-16,inflow,Revenue/Collections,186133.13
CT-000272,COMP-01,2025-05-16,outflow,Vendor Payments,119013.35
CT-000273,COMP-01,2025-05-17,inflow,Revenue/Collections,84789.67
CT-000274,COMP-01,2025-05-17,outflow,Operating Expenses,45974.49
CT-000275,COMP-01,2025-05-18,inflow,Revenue/Collections,68728.55
CT-000276,COMP-01,2025-05-18,outflow,Operating Expenses,37567.13
CT-000277,COMP-01,2025-05-19,inflow,Revenue/Collections,190434.22
CT-000278,COMP-01,2025-05-19,outflow,Operating Expenses,141129.22
CT-000279,COMP-01,2025-05-20,inflow,Revenue/Collections,206940.35
CT-000280,COMP-01,2025-05-20,outflow,Vendor Payments,145503.23
CT-000281,COMP-01,2025-05-21,inflow,Revenue/Collections,214303.06
CT-000282,COMP-01,2025-05-21,outflow,Vendor Payments,119437.79
CT-000283,COMP-01,2025-05-22,inflow,Revenue/Collections,213067.74
CT-000284,COMP-01,2025-05-22,outflow,Payroll,112657.27
CT-000285,COMP-01,2025-05-23,inflow,Revenue/Collections,215198.77
CT-000286,COMP-01,2025-05-23,outflow,Operating Expenses,138993.9
CT-000287,COMP-01,2025-05-24,inflow,Revenue/Collections,61715.42
CT-000288,COMP-01,2025-05-24,outflow,Payroll,46815.29
CT-000289,COMP-01,2025-05-25,inflow,Revenue/Collections,66221.73
CT-000290,COMP-01,2025-05-25,outflow,Payroll,44333.52
CT-000291,COMP-01,2025-05-26,inflow,Revenue/Collections,215003.52
CT-000292,COMP-01,2025-05-26,outflow,Payroll,198134.79
CT-000293,COMP-01,2025-05-27,inflow,Revenue/Collections,213184.66
CT-000294,COMP-01,2025-05-27,outflow,Operating Expenses,248124.99
CT-000295,COMP-01,2025-05-28,inflow,Revenue/Collections,222325.84
CT-000296,COMP-01,2025-05-28,outflow,Vendor Payments,252322.05
CT-000297,COMP-01,2025-05-29,inflow,Revenue/Collections,206463.53
CT-000298,COMP-01,2025-05-29,outflow,Payroll,211904.64
CT-000299,COMP-01,2025-05-30,inflow,Revenue/Collections,208478.28
CT-000300,COMP-01,2025-05-30,outflow,Vendor Payments,227515.25
CT-000301,COMP-01,2025-05-31,inflow,Revenue/Collections,95055.95
CT-000302,COMP-01,2025-05-31,outflow,Operating Expenses,77861.02
CT-000303,COMP-01,2025-06-01,inflow,Revenue/Collections,119811.53
CT-000304,COMP-01,2025-06-01,outflow,Operating Expenses,31016.9
CT-000305,COMP-01,2025-06-02,inflow,Revenue/Collections,230656.16
CT-000306,COMP-01,2025-06-02,outflow,Payroll,112240.66
CT-000307,COMP-01,2025-06-03,inflow,Revenue/Collections,258028.37
CT-000308,COMP-01,2025-06-03,outflow,Vendor Payments,136604.06
CT-000309,COMP-01,2025-06-04,inflow,Revenue/Collections,277617.6
CT-000310,COMP-01,2025-06-04,outflow,Vendor Payments,115772.11
CT-000311,COMP-01,2025-06-05,inflow,Revenue/Collections,225897.82
CT-000312,COMP-01,2025-06-05,outflow,Vendor Payments,112488.99
CT-000313,COMP-01,2025-06-06,inflow,Revenue/Collections,204740.91
CT-000314,COMP-01,2025-06-06,outflow,Payroll,139005.12
CT-000315,COMP-01,2025-06-07,inflow,Revenue/Collections,74495.16
CT-000316,COMP-01,2025-06-07,outflow,Operating Expenses,28127.8
CT-000317,COMP-01,2025-06-08,inflow,Revenue/Collections,93419.57
CT-000318,COMP-01,2025-06-08,outflow,Operating Expenses,47126.52
CT-000319,COMP-01,2025-06-09,inflow,Revenue/Collections,218190.19
CT-000320,COMP-01,2025-06-09,outflow,Vendor Payments,126455.33
CT-000321,COMP-01,2025-06-10,inflow,Revenue/Collections,191914.47
CT-000322,COMP-01,2025-06-10,outflow,Operating Expenses,145912.82
CT-000323,COMP-01,2025-06-11,inflow,Revenue/Collections,199361.69
CT-000324,COMP-01,2025-06-11,outflow,Payroll,114335.81
CT-000325,COMP-01,2025-06-12,inflow,Revenue/Collections,225101.32
CT-000326,COMP-01,2025-06-12,outflow,Payroll,133616.06
CT-000327,COMP-01,2025-06-13,inflow,Revenue/Collections,216097.64
CT-000328,COMP-01,2025-06-13,outflow,Payroll,125174.59
CT-000329,COMP-01,2025-06-14,inflow,Revenue/Collections,78600.46
CT-000330,COMP-01,2025-06-14,outflow,Vendor Payments,44592.6
CT-000331,COMP-01,2025-06-15,inflow,Revenue/Collections,78315.65
CT-000332,COMP-01,2025-06-15,outflow,Vendor Payments,39982.99
CT-000333,COMP-01,2025-06-16,inflow,Revenue/Collections,221494.76
CT-000334,COMP-01,2025-06-16,outflow,Operating Expenses,119637.87
CT-000335,COMP-01,2025-06-17,inflow,Revenue/Collections,199281.2
CT-000336,COMP-01,2025-06-17,outflow,Vendor Payments,131147.93
CT-000337,COMP-01,2025-06-18,inflow,Revenue/Collections,207014.61
CT-000338,COMP-01,2025-06-18,outflow,Payroll,152825.52
CT-000339,COMP-01,2025-06-19,inflow,Revenue/Collections,195021.11
CT-000340,COMP-01,2025-06-19,outflow,Vendor Payments,131155.9
CT-000341,COMP-01,2025-06-20,inflow,Revenue/Collections,189507.05
CT-000342,COMP-01,2025-06-20,outflow,Operating Expenses,130767.51
CT-000343,COMP-01,2025-06-21,inflow,Revenue/Collections,67551.21
CT-000344,COMP-01,2025-06-21,outflow,Payroll,48540.22
CT-000345,COMP-01,2025-06-22,inflow,Revenue/Collections,81434.54
CT-000346,COMP-01,2025-06-22,outflow,Payroll,31292.81
CT-000347,COMP-01,2025-06-23,inflow,Revenue/Collections,200133.2
CT-000348,COMP-01,2025-06-23,outflow,Operating Expenses,120811.32
CT-000349,COMP-01,2025-06-24,inflow,Revenue/Collections,224509.97
CT-000350,COMP-01,2025-06-24,outflow,Vendor Payments,141858.37
CT-000351,COMP-01,2025-06-25,inflow,Revenue/Collections,199959.22
CT-000352,COMP-01,2025-06-25,outflow,Payroll,116878.27
CT-000353,COMP-01,2025-06-26,inflow,Revenue/Collections,201138.84
CT-000354,COMP-01,2025-06-26,outflow,Vendor Payments,204403.03
CT-000355,COMP-01,2025-06-27,inflow,Revenue/Collections,213280.61
CT-000356,COMP-01,2025-06-27,outflow,Vendor Payments,214073.05
CT-000357,COMP-01,2025-06-28,inflow,Revenue/Collections,107786.25
CT-000358,COMP-01,2025-06-28,outflow,Payroll,57662.32
CT-000359,COMP-01,2025-06-29,inflow,Revenue/Collections,77827.8
CT-000360,COMP-01,2025-06-29,outflow,Vendor Payments,83749.0
CT-000361,COMP-01,2025-06-30,inflow,Revenue/Collections,215994.39
CT-000362,COMP-01,2025-06-30,outflow,Vendor Payments,194533.21
CT-000363,COMP-01,2025-07-01,inflow,Revenue/Collections,245717.2
CT-000364,COMP-01,2025-07-01,outflow,Vendor Payments,152015.95
CT-000365,COMP-01,2025-07-02,inflow,Revenue/Collections,228855.9
CT-000366,COMP-01,2025-07-02,outflow,Vendor Payments,149800.96
CT-000367,COMP-01,2025-07-03,inflow,Revenue/Collections,225442.91
CT-000368,COMP-01,2025-07-03,outflow,Operating Expenses,146230.25
CT-000369,COMP-01,2025-07-04,inflow,Revenue/Collections,231804.43
CT-000370,COMP-01,2025-07-04,outflow,Vendor Payments,129875.27
CT-000371,COMP-01,2025-07-05,inflow,Revenue/Collections,89308.01
CT-000372,COMP-01,2025-07-05,outflow,Payroll,33313.6
CT-000373,COMP-01,2025-07-06,inflow,Revenue/Collections,102083.19
CT-000374,COMP-01,2025-07-06,outflow,Payroll,44115.48
CT-000375,COMP-01,2025-07-07,inflow,Revenue/Collections,206217.57
CT-000376,COMP-01,2025-07-07,outflow,Payroll,147194.0
CT-000377,COMP-01,2025-07-08,inflow,Revenue/Collections,203173.09
CT-000378,COMP-01,2025-07-08,outflow,Payroll,134787.89
CT-000379,COMP-01,2025-07-09,inflow,Revenue/Collections,193792.07
CT-000380,COMP-01,2025-07-09,outflow,Operating Expenses,153232.68
CT-000381,COMP-01,2025-07-10,inflow,Revenue/Collections,225241.22
CT-000382,COMP-01,2025-07-10,outflow,Operating Expenses,130382.76
CT-000383,COMP-01,2025-07-11,inflow,Revenue/Collections,189857.2
CT-000384,COMP-01,2025-07-11,outflow,Operating Expenses,144006.32
CT-000385,COMP-01,2025-07-12,inflow,Revenue/Collections,102641.87
CT-000386,COMP-01,2025-07-12,outflow,Operating Expenses,49048.62
CT-000387,COMP-01,2025-07-13,inflow,Revenue/Collections,99016.35
